iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000464,"[1.0, 0.0]","[4109, 2975]",0.000380,0.000844,0.194595
1,0.002322,[0.0],[89],0.000326,0.002648,0.227848
2,0.002514,[0.0],[2068],0.000335,0.002849,0.486486
3,0.002942,[0.0],[4736],0.000627,0.003569,0.529412
4,0.004153,[0.0],[2077],0.000442,0.004596,0.529412
5,0.003990,[0.0],[4231],0.000424,0.004414,0.529412
6,0.003379,[0.0],[4139],0.000343,0.003722,1.000000
7,0.003330,[0.0],[4100],0.000366,0.003696,1.000000
8,0.003494,[0.0],[2040],0.000380,0.003874,1.000000
9,0.002710,[0.0],[2063],0.000346,0.003057,1.000000
10,0.002906,[0.0],[3831],0.000368,0.003274,1.000000
11,0.003053,[1.0],[4096],0.000346,0.003399,1.000000
12,0.003237,[0.0],[2078],0.000357,0.003594,1.000000
13,0.004391,[1.0],[4129],0.000545,0.004936,1.000000
14,0.003760,[0.0],[4127],0.000401,0.004162,1.000000
15,0.003691,[0.0],[4103],0.000344,0.004036,1.000000
16,0.003733,[0.0],[2042],0.000808,0.004541,1.000000
17,0.004615,[0.0],[4107],0.000561,0.005177,1.000000
18,0.004641,[1.0],[4128],0.000770,0.005411,1.000000
19,0.003645,[1.0],[4116],0.000454,0.004099,1.000000
20,0.004169,[1.0],[4101],0.000931,0.005100,1.000000
21,0.004063,[1.0],[4097],0.000387,0.004450,1.000000
22,0.004264,[0.0],[4123],0.000445,0.004709,1.000000
23,0.003530,[0.0],[4122],0.000360,0.003891,1.000000
24,0.004085,[1.0],[4125],0.000706,0.004792,1.000000
25,0.004222,[1.0],[4120],0.000407,0.004630,1.000000
26,0.003767,[1.0],[4126],0.000386,0.004153,1.000000
27,0.003556,[1.0],[4108],0.000370,0.003926,1.000000
28,0.003936,[1.0],[4121],0.000750,0.004687,1.000000
29,0.004275,[1.0],[4105],0.001319,0.005594,1.000000
30,0.004240,[1.0],[4124],0.000410,0.004650,1.000000
31,0.003935,[1.0],[4106],0.000417,0.004353,1.000000
32,0.003414,[1.0],[4102],0.000522,0.003935,1.000000
33,0.003863,[0.0],[2044],0.000477,0.004340,1.000000
34,0.004844,[1.0],[4104],0.000470,0.005313,1.000000
35,0.004543,[0.0],[2064],0.000373,0.004916,1.000000
36,0.004552,[1.0],[4117],0.000494,0.005046,1.000000
37,0.003974,[0.0],[2079],0.000573,0.004548,1.000000
38,0.005582,[0.0],[2080],0.000447,0.006029,1.000000
39,0.004607,[0.0],[2061],0.000407,0.005015,1.000000
40,0.003831,[0.0],[2062],0.000399,0.004230,1.000000
41,0.003690,[0.0],[2045],0.000384,0.004074,1.000000
42,0.003870,[0.0],[2046],0.000389,0.004259,1.000000
43,0.004047,[0.0],[2047],0.000406,0.004454,1.000000
44,0.003967,[0.0],[2048],0.000459,0.004426,1.000000
45,0.004910,[0.0],[192],0.000904,0.005814,1.000000
46,0.004661,[0.0],[190],0.000412,0.005072,1.000000
47,0.004018,[0.0],[966],0.000398,0.004416,1.000000
48,0.003556,[0.0],[967],0.000485,0.004042,1.000000
49,0.005731,[0.0],[259],0.000655,0.006385,1.000000
50,0.003702,[0.0],[191],0.000385,0.004087,1.000000
51,0.003576,[0.0],[961],0.000378,0.003954,1.000000
52,0.003677,[0.0],[962],0.000480,0.004157,1.000000
53,0.006079,[0.0],[258],0.000461,0.006540,1.000000
54,0.004829,[0.0],[3322],0.000696,0.005525,1.000000
55,0.003610,[0.0],[3320],0.000441,0.004051,1.000000
56,0.004563,[0.0],[4764],0.000436,0.004999,1.000000
57,0.004151,[0.0],[4763],0.000401,0.004552,1.000000
58,0.003609,[0.0],[3321],0.000383,0.003992,1.000000
59,0.003513,[0.0],[4761],0.000383,0.003896,1.000000
