iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000344,"[1.0, 0.0]","[4108, 1960]",0.150851,0.151195,0.227848
1,0.001103,[0.0],[2067],0.165165,0.166269,0.461538
2,0.001397,[0.0],[4734],0.155901,0.157298,0.529412
3,0.001259,[0.0],[4123],0.161732,0.162991,1.000000
4,0.003060,[0.0],[120],0.173756,0.176816,1.000000
5,0.001234,[0.0],[1805],0.159341,0.160575,1.000000
6,0.002288,[0.0],[2077],0.164544,0.166832,1.000000
7,0.003018,[0.0],[3533],0.183932,0.186950,1.000000
8,0.002472,[0.0],[4743],0.167160,0.169632,1.000000
9,0.003009,[0.0],[3321],0.169362,0.172371,1.000000
10,0.001842,[0.0],[951],0.168978,0.170820,1.000000
11,0.002622,[0.0],[793],0.172127,0.174749,1.000000
12,0.001560,[0.0],[962],0.194392,0.195952,1.000000
13,0.002235,[0.0],[2019],0.169697,0.171932,1.000000
14,0.001733,[0.0],[383],0.170285,0.172018,1.000000
15,0.001864,[0.0],[4514],0.168912,0.170777,1.000000
16,0.002831,[0.0],[4645],0.172071,0.174903,1.000000
17,0.002703,[1.0],[4101],0.192948,0.195652,1.000000
18,0.003003,[0.0],[3322],0.175538,0.178541,1.000000
19,0.001860,[0.0],[2054],0.171467,0.173327,1.000000
20,0.003017,[0.0],[757],0.190007,0.193024,1.000000
21,0.002069,[0.0],[455],0.184810,0.186879,1.000000
22,0.001836,[1.0],[4129],0.210569,0.212405,1.000000
23,0.004022,[0.0],[3255],0.193249,0.197271,1.000000
24,0.002014,[0.0],[2078],0.195742,0.197756,1.000000
25,0.002204,[0.0],[827],0.190007,0.192211,1.000000
26,0.002134,[0.0],[190],0.193994,0.196129,1.000000
27,0.004443,[0.0],[5311],0.203894,0.208337,1.000000
28,0.002129,[0.0],[4916],0.194785,0.196914,1.000000
29,0.003111,[0.0],[4418],0.194482,0.197593,1.000000
30,0.003966,[0.0],[1026],0.194082,0.198048,1.000000
31,0.002583,[0.0],[2028],0.221659,0.224242,1.000000
32,0.002469,[0.0],[3064],0.203807,0.206276,1.000000
33,0.002331,[0.0],[1306],0.196435,0.198765,1.000000
34,0.002616,[0.0],[3703],0.200820,0.203436,1.000000
35,0.002305,[0.0],[1546],0.203745,0.206051,1.000000
36,0.003530,[0.0],[2048],0.211551,0.215081,1.000000
37,0.003658,[0.0],[3320],0.209933,0.213592,1.000000
38,0.003578,[0.0],[1598],0.209265,0.212842,1.000000
39,0.002735,[0.0],[263],0.216604,0.219339,1.000000
40,0.004309,[0.0],[2935],0.239783,0.244093,1.000000
41,0.002534,[0.0],[4732],0.229567,0.232100,1.000000
42,0.002823,[0.0],[116],0.217790,0.220613,1.000000
43,0.005146,[0.0],[4497],0.227754,0.232901,1.000000
44,0.002752,[0.0],[1318],0.240509,0.243261,1.000000
45,0.003782,[0.0],[5491],0.220286,0.224067,1.000000
46,0.002959,[0.0],[739],0.221580,0.224539,1.000000
47,0.004568,[0.0],[2578],0.238428,0.242996,1.000000
48,0.003356,[0.0],[1144],0.248275,0.251631,1.000000
49,0.004194,[0.0],[2709],0.228944,0.233139,1.000000
50,0.004322,[0.0],[1897],0.234714,0.239036,1.000000
51,0.004618,[0.0],[4567],0.233624,0.238242,1.000000
52,0.003384,[0.0],[542],0.254827,0.258211,1.000000
53,0.004132,[0.0],[3823],0.236653,0.240785,1.000000
54,0.003173,[0.0],[3323],0.239333,0.242506,1.000000
55,0.004113,[0.0],[484],0.239703,0.243816,1.000000
56,0.004595,[0.0],[4086],0.247793,0.252388,1.000000
57,0.005118,[0.0],[429],0.244539,0.249656,1.000000
58,0.004332,[0.0],[4343],0.249012,0.253344,1.000000
59,0.003567,[0.0],[5116],0.274282,0.277849,1.000000
