iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000403,"[[1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[4248, 2304]",0.028230,0.028633,0.279570
1,0.028950,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[2069],0.026579,0.055529,0.176471
2,0.039390,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[525],0.028581,0.067972,0.313253
3,0.031005,"[[0.0, 0.0, 0.0, 1.0, 0.0]]",[4748],0.028461,0.059466,0.590909
4,0.034212,"[[0.0, 0.0, 0.0, 1.0, 1.0]]",[3582],0.035788,0.070001,0.516129
5,0.030800,"[[0.0, 1.0, 0.0, 1.0, 0.0]]",[2533],0.031965,0.062764,0.761905
6,0.035119,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[3320],0.033601,0.068720,0.700000
7,0.031984,"[[0.0, 1.0, 0.0, 0.0, 1.0]]",[4275],0.037968,0.069952,0.555556
8,0.031936,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[3665],0.045330,0.077266,0.761905
9,0.032458,"[[0.0, 1.0, 1.0, 1.0, 0.0]]",[5279],0.042704,0.075162,0.375000
10,0.032721,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[4401],0.041845,0.074565,0.555556
11,0.032201,"[[0.0, 1.0, 0.0, 1.0, 1.0]]",[1893],0.043618,0.075819,0.375000
12,0.036968,"[[1.0, 1.0, 1.0, 1.0, 1.0]]",[3876],0.048501,0.085468,0.700000
13,0.032320,"[[1.0, 1.0, 1.0, 0.0, 1.0]]",[4783],0.052507,0.084827,0.960000
14,0.032214,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[4130],0.050214,0.082428,0.960000
15,0.034265,"[[0.0, 1.0, 0.0, 0.0, 1.0]]",[37],0.054708,0.088973,1.000000
16,0.033069,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[860],0.056728,0.089797,0.960000
17,0.032833,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[2969],0.057035,0.089868,0.960000
18,0.032611,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[1694],0.058323,0.090934,0.962963
19,0.033849,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[4333],0.061676,0.095526,1.000000
20,0.034253,"[[0.0, 0.0, 0.0, 1.0, 0.0]]",[70],0.065150,0.099403,1.000000
21,0.032930,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[3973],0.066774,0.099704,0.916667
22,0.038712,"[[0.0, 0.0, 0.0, 1.0, 0.0]]",[1474],0.070652,0.109364,0.960000
