iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000518,"[1.0, 0.0]","[3878, 4749]",0.157293,0.157811,0.208000
1,0.002031,[0.0],[5497],0.157564,0.159595,0.208000
2,0.001197,[0.0],[4818],0.156942,0.158140,0.279570
3,0.002003,[0.0],[4783],0.158437,0.160441,0.337662
4,0.002459,[0.0],[1912],0.160765,0.163224,0.423077
5,0.003063,[0.0],[1241],0.175803,0.178866,0.439024
6,0.002235,[0.0],[1503],0.163098,0.165334,0.424242
7,0.001454,[0.0],[5289],0.167022,0.168476,0.424242
8,0.001610,[0.0],[1501],0.165669,0.167279,0.266667
9,0.001518,[1.0],[1256],0.171994,0.173512,0.500000
10,0.001758,[0.0],[1497],0.192951,0.194709,0.636364
11,0.002128,[0.0],[1266],0.172386,0.174514,0.631579
12,0.003546,[1.0],[1504],0.178221,0.181767,0.666667
13,0.001564,[0.0],[1494],0.178299,0.179863,0.700000
14,0.002001,[0.0],[1506],0.176563,0.178564,0.555556
15,0.001579,[1.0],[1258],0.200761,0.202340,0.700000
16,0.001755,[0.0],[4118],0.181835,0.183590,0.700000
17,0.001809,[1.0],[1264],0.184312,0.186121,0.700000
18,0.001943,[0.0],[1260],0.190875,0.192818,0.700000
19,0.002619,[0.0],[2170],0.201471,0.204090,0.700000
20,0.002411,[0.0],[5263],0.205433,0.207845,0.700000
21,0.001904,[0.0],[4280],0.198228,0.200131,0.700000
22,0.001940,[0.0],[37],0.203582,0.205522,0.700000
23,0.001867,[0.0],[3051],0.212406,0.214272,0.700000
24,0.002016,[0.0],[2990],0.236356,0.238373,0.700000
25,0.001959,[0.0],[1852],0.202907,0.204866,0.700000
26,0.002021,[0.0],[3320],0.201801,0.203822,0.700000
27,0.002228,[0.0],[374],0.208027,0.210254,0.700000
28,0.003083,[0.0],[2429],0.216726,0.219809,0.700000
29,0.003621,[0.0],[4619],0.223395,0.227017,0.700000
30,0.002197,[0.0],[3839],0.218674,0.220871,0.700000
31,0.002202,[0.0],[2308],0.212158,0.214359,0.700000
32,0.002442,[0.0],[3859],0.213005,0.215446,0.700000
33,0.003941,[0.0],[3945],0.234016,0.237957,0.700000
34,0.003490,[0.0],[3079],0.224383,0.227873,0.700000
35,0.002453,[0.0],[658],0.228889,0.231341,0.700000
36,0.002387,[0.0],[1602],0.227474,0.229861,0.700000
37,0.004301,[0.0],[3608],0.241586,0.245887,0.700000
38,0.002573,[0.0],[5288],0.228611,0.231184,0.700000
39,0.004043,[0.0],[351],0.269974,0.274018,0.700000
40,0.003833,[0.0],[2058],0.266672,0.270505,0.700000
41,0.003984,[0.0],[1592],0.251272,0.255256,0.700000
42,0.002612,[0.0],[1881],0.238673,0.241285,0.700000
43,0.003801,[0.0],[2302],0.239544,0.243345,0.700000
44,0.002814,[0.0],[5373],0.265761,0.268575,0.700000
45,0.002751,[0.0],[2619],0.248805,0.251556,0.700000
46,0.002927,[0.0],[2573],0.252185,0.255112,0.700000
47,0.002730,[0.0],[3922],0.252170,0.254900,0.700000
48,0.003546,[0.0],[4935],0.286804,0.290350,0.700000
49,0.003559,[0.0],[3706],0.262134,0.265693,0.700000
50,0.004008,[0.0],[1874],0.272680,0.276688,0.700000
51,0.002980,[0.0],[3261],0.320068,0.323048,0.700000
52,0.004591,[0.0],[3127],0.300796,0.305387,0.700000
53,0.003653,[0.0],[3804],0.285985,0.289638,0.700000
54,0.003276,[0.0],[1630],0.325961,0.329237,0.700000
55,0.003401,[0.0],[355],0.325183,0.328584,0.700000
56,0.005365,[0.0],[5438],0.315372,0.320737,0.700000
57,0.003479,[0.0],[5243],0.318994,0.322473,0.700000
58,0.004506,[0.0],[3975],0.306934,0.311440,0.700000
59,0.006343,[0.0],[3848],0.309012,0.315355,0.700000
