iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000468,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]","[1087, 1890]",0.058418,0.058886,0.017420,0.000000
1,0.001368,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4213],0.028485,0.029853,0.125000,0.001580
2,0.000764,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4153],0.006769,0.007533,0.165803,0.003663
3,0.003059,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5166],0.003090,0.006148,0.321839,0.007092
4,0.003969,"[[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4555],0.001798,0.005767,0.388889,0.010526
5,0.007521,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2187],0.001817,0.009337,0.933333,0.220000
6,0.000492,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4514],0.001054,0.001546,0.800000,0.260000
7,0.025182,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4486],0.001094,0.026275,0.933333,0.419355
8,0.000524,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4205],0.000962,0.001486,0.914286,0.451613
9,0.000540,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1631],0.001006,0.001546,0.967742,0.608696
10,0.000484,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1632],0.000944,0.001429,1.000000,0.652174
11,0.000604,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[1736],0.002013,0.002617,1.000000,0.937500
12,0.020275,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1119],0.000906,0.021180,1.000000,1.000000
13,0.004117,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2282],0.000990,0.005106,1.000000,1.000000
14,0.003493,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2343],0.000917,0.004410,1.000000,1.000000
15,0.003676,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2261],0.001002,0.004678,1.000000,1.000000
16,0.003974,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2322],0.001000,0.004974,1.000000,1.000000
17,0.003823,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[1791],0.001022,0.004845,1.000000,1.000000
18,0.004069,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1612],0.000990,0.005059,1.000000,1.000000
19,0.004007,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4479],0.001039,0.005045,1.000000,1.000000
20,0.004058,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2323],0.001087,0.005145,1.000000,1.000000
21,0.004242,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2279],0.001101,0.005342,1.000000,1.000000
22,0.004357,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1155],0.001021,0.005378,1.000000,1.000000
23,0.004337,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1168],0.001087,0.005424,1.000000,1.000000
24,0.004684,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1662],0.001166,0.005850,1.000000,1.000000
25,0.004471,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2245],0.001040,0.005511,1.000000,1.000000
26,0.004547,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4230],0.001081,0.005628,1.000000,1.000000
27,0.004941,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4442],0.001232,0.006173,1.000000,1.000000
28,0.005022,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4229],0.001111,0.006134,1.000000,1.000000
29,0.005001,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4426],0.001202,0.006203,1.000000,1.000000
30,0.005210,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1624],0.001138,0.006347,1.000000,1.000000
31,0.005103,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5246],0.001529,0.006632,1.000000,1.000000
32,0.005399,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1099],0.001129,0.006528,1.000000,1.000000
33,0.005586,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5180],0.001262,0.006848,1.000000,1.000000
34,0.005453,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1131],0.001164,0.006618,1.000000,1.000000
35,0.005609,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5242],0.001507,0.007116,1.000000,1.000000
36,0.006097,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1009],0.001245,0.007342,1.000000,1.000000
37,0.006209,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1675],0.001288,0.007497,1.000000,1.000000
38,0.006172,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1666],0.001312,0.007483,1.000000,1.000000
39,0.005904,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5192],0.001999,0.007903,1.000000,1.000000
40,0.006585,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1619],0.001395,0.007981,1.000000,1.000000
41,0.006249,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4405],0.001399,0.007647,1.000000,1.000000
42,0.006200,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1154],0.001319,0.007519,1.000000,1.000000
43,0.006431,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5196],0.001601,0.008033,1.000000,1.000000
44,0.006144,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4227],0.001606,0.007750,1.000000,1.000000
45,0.006637,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4424],0.001512,0.008149,1.000000,1.000000
46,0.006709,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4498],0.001503,0.008211,1.000000,1.000000
47,0.006512,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2257],0.001369,0.007881,1.000000,1.000000
48,0.006596,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1661],0.001596,0.008193,1.000000,1.000000
49,0.007696,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1620],0.001718,0.009415,1.000000,1.000000
50,0.006728,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2278],0.001414,0.008143,1.000000,1.000000
51,0.006815,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1198],0.001734,0.008549,1.000000,1.000000
52,0.006443,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1199],0.001775,0.008218,1.000000,1.000000
53,0.006703,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1059],0.001443,0.008147,1.000000,1.000000
54,0.006738,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[818],0.001614,0.008351,1.000000,1.000000
55,0.006845,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5204],0.001845,0.008690,1.000000,1.000000
56,0.006439,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5206],0.001852,0.008291,1.000000,1.000000
57,0.006719,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1654],0.001651,0.008370,1.000000,1.000000
58,0.006796,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4500],0.001667,0.008463,1.000000,1.000000
59,0.006558,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4448],0.001655,0.008213,1.000000,1.000000
