iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000386,"[1.0, 0.0]","[1119, 2502]",0.000372,0.000758,0.020279
1,0.002226,[0.0],[5398],0.000317,0.002543,0.031098
2,0.002753,[0.0],[1797],0.000344,0.003097,0.034022
3,0.002647,[0.0],[2153],0.000324,0.002971,0.065574
4,0.002877,[0.0],[4462],0.000327,0.003203,0.066351
5,0.002953,[0.0],[2385],0.000368,0.003321,0.068293
6,0.002746,[0.0],[4008],0.000488,0.003234,0.071066
7,0.004013,[0.0],[2334],0.000437,0.004450,0.086154
8,0.003570,[0.0],[1671],0.000343,0.003913,0.151351
9,0.003235,[0.0],[4713],0.000366,0.003601,0.157303
10,0.003086,[0.0],[1008],0.000348,0.003435,0.233333
11,0.003045,[0.0],[1130],0.000372,0.003416,0.214286
12,0.002825,[0.0],[1746],0.000338,0.003162,0.216216
13,0.002570,[1.0],[1632],0.000372,0.002942,0.200000
14,0.002844,[0.0],[4727],0.000522,0.003366,0.237288
15,0.003948,[0.0],[1127],0.000575,0.004523,0.318182
16,0.003361,[0.0],[1067],0.000412,0.003774,0.383562
17,0.003334,[0.0],[1225],0.000470,0.003804,0.444444
18,0.002837,[0.0],[818],0.000336,0.003173,0.459016
19,0.002841,[0.0],[2342],0.000585,0.003426,0.518519
20,0.003388,[0.0],[1103],0.000593,0.003981,0.682927
21,0.003647,[1.0],[4205],0.000644,0.004291,0.333333
22,0.003552,[0.0],[985],0.000668,0.004219,0.444444
23,0.003690,[0.0],[1631],0.000477,0.004167,0.560000
24,0.003263,[0.0],[2279],0.000404,0.003668,0.595745
25,0.004608,[0.0],[1675],0.001012,0.005621,0.705882
26,0.004247,[0.0],[2292],0.000489,0.004736,0.476190
27,0.003562,[1.0],[5196],0.000414,0.003976,0.800000
28,0.003629,[0.0],[5180],0.000440,0.004069,0.764706
29,0.004937,[0.0],[1666],0.000488,0.005425,0.769231
30,0.004372,[1.0],[1087],0.000414,0.004786,0.787879
31,0.003979,[0.0],[1154],0.000394,0.004374,0.814815
32,0.004412,[0.0],[2245],0.000902,0.005314,0.769231
33,0.006158,[1.0],[5246],0.000689,0.006848,0.814815
34,0.005672,[0.0],[1099],0.000429,0.006101,0.769231
35,0.004861,[1.0],[5242],0.000571,0.005432,0.769231
36,0.005554,[0.0],[1624],0.000714,0.006269,0.769231
37,0.005006,[0.0],[1612],0.000432,0.005438,0.769231
38,0.005836,[0.0],[1131],0.000459,0.006296,0.769231
39,0.005983,[1.0],[1662],0.000452,0.006435,0.769231
40,0.005348,[0.0],[1619],0.000794,0.006141,0.769231
41,0.006514,[0.0],[1009],0.000473,0.006987,0.769231
42,0.004971,[1.0],[5192],0.000504,0.005475,0.769231
43,0.006342,[0.0],[1155],0.000908,0.007250,0.769231
44,0.005086,[0.0],[2257],0.000422,0.005508,0.769231
45,0.005196,[1.0],[1620],0.000446,0.005642,0.769231
46,0.006646,[0.0],[1661],0.000571,0.007218,0.769231
47,0.005276,[0.0],[1059],0.000472,0.005748,0.769231
48,0.006026,[0.0],[2278],0.000712,0.006738,0.769231
49,0.006100,[0.0],[1198],0.000478,0.006578,0.769231
50,0.005299,[0.0],[1199],0.000465,0.005764,0.769231
51,0.006795,[0.0],[5206],0.001391,0.008186,0.769231
52,0.008003,[0.0],[5204],0.000700,0.008703,0.769231
53,0.006364,[0.0],[837],0.000513,0.006877,0.769231
54,0.005333,[0.0],[1654],0.000476,0.005809,0.769231
55,0.006815,[0.0],[997],0.000583,0.007398,0.769231
56,0.006668,[0.0],[5230],0.001009,0.007676,0.769231
57,0.005234,[0.0],[2195],0.000476,0.005709,0.769231
58,0.006686,[0.0],[5256],0.000661,0.007347,0.769231
59,0.005275,[0.0],[5254],0.000507,0.005782,0.769231
