iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000426,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]","[1620, 2176]",0.025639,0.026065,0.216667
1,0.034920,"[[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[337],0.027423,0.062343,0.111111
2,0.051435,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[2032],0.033637,0.085072,0.152381
3,0.037242,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[354],0.029252,0.066494,0.210526
4,0.040277,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[3552],0.029403,0.069681,0.233333
5,0.044080,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[81],0.035226,0.079306,0.358209
6,0.038590,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1640],0.040821,0.079411,0.509091
7,0.044284,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[4560],0.037044,0.081328,0.648649
8,0.040625,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1898],0.038245,0.078870,0.666667
9,0.046854,"[[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4693],0.053368,0.100221,0.969697
10,0.037328,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[3823],0.039627,0.076955,0.833333
11,0.039806,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2151],0.044860,0.084666,0.820513
12,0.036635,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[4784],0.045556,0.082191,0.695652
13,0.042982,"[[0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4551],0.051954,0.094937,0.967742
14,0.039410,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[3828],0.049898,0.089308,1.000000
15,0.037480,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[2921],0.051539,0.089019,0.967742
16,0.046381,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4900],0.069766,0.116146,1.000000
17,0.037803,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[5091],0.065034,0.102837,1.000000
18,0.037495,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4220],0.071955,0.109451,1.000000
19,0.051379,"[[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[1649],0.069178,0.120557,1.000000
20,0.042684,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1509],0.076271,0.118955,0.967742
21,0.041610,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[359],0.074489,0.116099,1.000000
22,0.051331,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[1011],0.078844,0.130175,1.000000
23,0.039305,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[1771],0.082351,0.121656,1.000000
24,0.038808,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[5398],0.114383,0.153191,1.000000
25,0.038919,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1594],0.102032,0.140951,1.000000
26,0.041937,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[3830],0.099406,0.141343,1.000000
27,0.039383,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2098],0.112722,0.152106,1.000000
28,0.038257,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2613],0.110708,0.148964,1.000000
29,0.041648,"[[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[336],0.118645,0.160294,1.000000
30,0.038455,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1439],0.121568,0.160023,1.000000
31,0.038220,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[2583],0.132819,0.171039,1.000000
32,0.040607,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[2061],0.131960,0.172567,1.000000
33,0.041094,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[4740],0.143247,0.184341,1.000000
34,0.039571,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4014],0.141572,0.181143,1.000000
35,0.039413,"[[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[3322],0.149020,0.188433,1.000000
36,0.044131,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[1224],0.154484,0.198615,1.000000
37,0.039479,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[4731],0.162719,0.202197,1.000000
38,0.039433,"[[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4697],0.172712,0.212145,1.000000
39,0.039397,"[[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3345],0.173114,0.212512,1.000000
40,0.051141,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5236],0.172207,0.223348,1.000000
41,0.045274,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2282],0.178606,0.223880,1.000000
42,0.039994,"[[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",[3133],0.182739,0.222733,1.000000
43,0.039360,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[3929],0.195770,0.235129,1.000000
44,0.039915,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1888],0.205266,0.245181,1.000000
45,0.040887,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1504],0.204139,0.245025,1.000000
46,0.046437,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2825],0.214926,0.261363,1.000000
47,0.048983,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[3041],0.227014,0.275997,1.000000
48,0.041385,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[4945],0.224917,0.266302,1.000000
49,0.051012,"[[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4473],0.229174,0.280186,1.000000
50,0.048979,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[860],0.240561,0.289540,1.000000
51,0.040752,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5246],0.236938,0.277690,1.000000
52,0.041689,"[[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[4101],0.243303,0.284992,1.000000
53,0.052864,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[92],0.258663,0.311527,1.000000
54,0.041890,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[5346],0.269451,0.311341,1.000000
55,0.042048,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5144],0.265415,0.307463,1.000000
56,0.046799,"[[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2194],0.278207,0.325006,1.000000
57,0.042087,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4451],0.291283,0.333371,1.000000
58,0.041722,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1262],0.303715,0.345437,1.000000
59,0.041285,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[3791],0.301912,0.343197,1.000000
