iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000407,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0]]","[3247, 4798]",0.060985,0.061392,0.478261,0.000000
1,0.000472,"[[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]]",[37],0.001134,0.001606,0.814815,0.000000
2,0.000503,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[2665],0.000918,0.001421,0.916667,0.307692
3,0.006559,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3241],0.000761,0.007320,0.916667,0.461538
4,0.010680,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[2722],0.000782,0.011462,0.900000,0.545455
5,0.000483,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3242],0.000850,0.001333,0.952381,0.818182
6,0.003264,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2720],0.000828,0.004092,1.000000,0.909091
7,0.006814,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3243],0.000974,0.007789,1.000000,1.000000
8,0.003072,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2712],0.000921,0.003993,1.000000,1.000000
9,0.002944,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3239],0.001197,0.004141,1.000000,1.000000
10,0.002996,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[2721],0.000897,0.003893,1.000000,1.000000
11,0.003434,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[1955],0.000934,0.004368,1.000000,1.000000
12,0.003135,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[2663],0.001305,0.004440,1.000000,1.000000
13,0.003245,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[1954],0.001653,0.004898,1.000000,1.000000
14,0.002963,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2711],0.000997,0.003960,1.000000,1.000000
15,0.002986,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[2664],0.001060,0.004046,1.000000,1.000000
16,0.003063,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1950],0.001000,0.004063,1.000000,1.000000
17,0.003726,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[1956],0.001052,0.004778,1.000000,1.000000
18,0.003064,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1951],0.001073,0.004137,1.000000,1.000000
19,0.003446,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4949],0.001102,0.004548,1.000000,1.000000
20,0.003069,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[978],0.001353,0.004421,1.000000,1.000000
21,0.003075,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4950],0.001088,0.004163,1.000000,1.000000
22,0.002996,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3881],0.001353,0.004349,1.000000,1.000000
23,0.003099,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3255],0.001360,0.004459,1.000000,1.000000
24,0.003065,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2622],0.001348,0.004413,1.000000,1.000000
25,0.003014,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3882],0.001320,0.004334,1.000000,1.000000
26,0.003056,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3256],0.001361,0.004417,1.000000,1.000000
27,0.003074,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2624],0.001355,0.004428,1.000000,1.000000
28,0.002974,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3246],0.001336,0.004311,1.000000,1.000000
29,0.003073,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3883],0.001333,0.004406,1.000000,1.000000
30,0.003033,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2640],0.001366,0.004399,1.000000,1.000000
31,0.003272,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2452],0.001150,0.004422,1.000000,1.000000
32,0.002984,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3216],0.001398,0.004382,1.000000,1.000000
33,0.003018,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3871],0.001389,0.004407,1.000000,1.000000
34,0.003039,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2642],0.001407,0.004446,1.000000,1.000000
35,0.003096,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2641],0.001389,0.004485,1.000000,1.000000
36,0.003089,"[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[3506],0.001073,0.004162,1.000000,1.000000
37,0.002984,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3872],0.001442,0.004426,1.000000,1.000000
38,0.003044,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4951],0.001178,0.004222,1.000000,1.000000
39,0.003096,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3217],0.001495,0.004591,1.000000,1.000000
40,0.003070,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2643],0.001590,0.004660,1.000000,1.000000
41,0.003436,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3873],0.002486,0.005922,1.000000,1.000000
42,0.003174,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2644],0.001649,0.004823,1.000000,1.000000
43,0.002989,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4172],0.002115,0.005104,1.000000,1.000000
44,0.002943,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3874],0.001525,0.004468,1.000000,1.000000
45,0.003038,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3218],0.001592,0.004630,1.000000,1.000000
46,0.002921,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1952],0.001138,0.004059,1.000000,1.000000
47,0.002907,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2700],0.001527,0.004434,1.000000,1.000000
48,0.002923,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2699],0.001524,0.004447,1.000000,1.000000
49,0.002928,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2645],0.001528,0.004456,1.000000,1.000000
50,0.002879,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2701],0.001537,0.004416,1.000000,1.000000
51,0.002925,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2702],0.001551,0.004476,1.000000,1.000000
52,0.002899,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3875],0.001535,0.004434,1.000000,1.000000
53,0.003366,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3234],0.001778,0.005144,1.000000,1.000000
54,0.003138,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2648],0.001668,0.004805,1.000000,1.000000
55,0.003050,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2647],0.001572,0.004622,1.000000,1.000000
56,0.003320,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2646],0.001682,0.005001,1.000000,1.000000
57,0.003037,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4173],0.001169,0.004206,1.000000,1.000000
58,0.003082,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2703],0.001597,0.004678,1.000000,1.000000
59,0.003144,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2705],0.001895,0.005039,1.000000,1.000000
