iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000408,"[[1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 1.0, 0.0]]","[3251, 5232]",0.018396,0.018804,0.628571
1,0.041654,"[[1.0, 0.0, 1.0, 0.0]]",[112],0.018271,0.059924,0.611111
2,0.043866,"[[0.0, 0.0, 1.0, 0.0]]",[5006],0.024823,0.068689,0.914286
3,0.047028,"[[0.0, 0.0, 1.0, 0.0]]",[2815],0.019163,0.066191,0.733333
4,0.043699,"[[1.0, 1.0, 1.0, 0.0]]",[3228],0.021047,0.064746,0.733333
5,0.041931,"[[0.0, 0.0, 1.0, 0.0]]",[2062],0.020411,0.062343,0.733333
6,0.042368,"[[1.0, 0.0, 1.0, 0.0]]",[3781],0.021647,0.064016,0.733333
7,0.045633,"[[1.0, 0.0, 0.0, 0.0]]",[3651],0.022862,0.068495,0.733333
8,0.045947,"[[0.0, 0.0, 1.0, 0.0]]",[4010],0.023126,0.069073,0.733333
9,0.042625,"[[0.0, 0.0, 1.0, 0.0]]",[4901],0.024098,0.066722,0.733333
10,0.048522,"[[0.0, 0.0, 1.0, 0.0]]",[3116],0.029230,0.077752,0.733333
11,0.043233,"[[0.0, 0.0, 1.0, 0.0]]",[3143],0.023760,0.066994,0.848485
12,0.043860,"[[1.0, 0.0, 1.0, 1.0]]",[5290],0.026039,0.069899,1.000000
13,0.043242,"[[1.0, 0.0, 1.0, 0.0]]",[3414],0.026896,0.070137,1.000000
14,0.048006,"[[1.0, 0.0, 1.0, 0.0]]",[320],0.028940,0.076947,1.000000
15,0.044125,"[[1.0, 0.0, 1.0, 0.0]]",[3320],0.031318,0.075444,1.000000
16,0.043271,"[[0.0, 0.0, 1.0, 0.0]]",[3969],0.028806,0.072077,1.000000
17,0.043457,"[[1.0, 0.0, 1.0, 0.0]]",[1375],0.031734,0.075191,1.000000
18,0.044001,"[[0.0, 0.0, 1.0, 0.0]]",[3757],0.030903,0.074904,1.000000
19,0.044016,"[[0.0, 0.0, 1.0, 0.0]]",[2554],0.031285,0.075301,1.000000
20,0.043824,"[[1.0, 0.0, 1.0, 0.0]]",[4384],0.032311,0.076135,1.000000
21,0.048983,"[[1.0, 0.0, 0.0, 0.0]]",[880],0.035060,0.084043,1.000000
22,0.047003,"[[0.0, 0.0, 1.0, 0.0]]",[1299],0.034128,0.081131,1.000000
23,0.044274,"[[0.0, 0.0, 1.0, 0.0]]",[5039],0.036154,0.080428,1.000000
24,0.044038,"[[0.0, 0.0, 0.0, 0.0]]",[3164],0.041237,0.085276,1.000000
25,0.045404,"[[0.0, 0.0, 1.0, 0.0]]",[1462],0.042402,0.087807,1.000000
26,0.044413,"[[0.0, 0.0, 0.0, 0.0]]",[1512],0.039263,0.083677,1.000000
27,0.044942,"[[0.0, 1.0, 1.0, 0.0]]",[3245],0.041261,0.086203,1.000000
28,0.045093,"[[0.0, 0.0, 1.0, 0.0]]",[4733],0.042309,0.087402,1.000000
29,0.044876,"[[1.0, 0.0, 1.0, 0.0]]",[973],0.042741,0.087617,1.000000
30,0.044543,"[[1.0, 0.0, 1.0, 0.0]]",[37],0.045412,0.089955,1.000000
31,0.045466,"[[0.0, 0.0, 1.0, 0.0]]",[2826],0.066005,0.111471,1.000000
32,0.045534,"[[0.0, 0.0, 1.0, 0.0]]",[41],0.052622,0.098156,1.000000
33,0.045083,"[[0.0, 0.0, 1.0, 0.0]]",[2161],0.055193,0.100276,1.000000
34,0.044759,"[[0.0, 0.0, 1.0, 0.0]]",[4106],0.056815,0.101573,1.000000
35,0.044474,"[[0.0, 0.0, 1.0, 0.0]]",[4127],0.057681,0.102155,1.000000
36,0.044585,"[[0.0, 0.0, 1.0, 0.0]]",[2569],0.059284,0.103869,1.000000
37,0.045057,"[[0.0, 0.0, 1.0, 0.0]]",[2540],0.076676,0.121733,1.000000
38,0.044876,"[[0.0, 0.0, 1.0, 0.0]]",[4737],0.063610,0.108486,1.000000
39,0.045577,"[[1.0, 1.0, 1.0, 0.0]]",[2086],0.070711,0.116287,1.000000
40,0.048661,"[[0.0, 0.0, 1.0, 0.0]]",[840],0.068176,0.116837,1.000000
41,0.045069,"[[1.0, 1.0, 1.0, 0.0]]",[2703],0.068892,0.113961,1.000000
42,0.050573,"[[0.0, 0.0, 1.0, 0.0]]",[3517],0.070815,0.121389,1.000000
43,0.058975,"[[0.0, 0.0, 1.0, 0.0]]",[1775],0.089366,0.148341,1.000000
44,0.045206,"[[0.0, 0.0, 1.0, 0.0]]",[1810],0.088862,0.134068,1.000000
45,0.048806,"[[1.0, 1.0, 1.0, 1.0]]",[3257],0.076798,0.125603,1.000000
46,0.045173,"[[1.0, 0.0, 0.0, 0.0]]",[1397],0.080833,0.126006,1.000000
47,0.050371,"[[0.0, 0.0, 1.0, 0.0]]",[4993],0.081302,0.131673,1.000000
48,0.053752,"[[0.0, 0.0, 1.0, 0.0]]",[1119],0.083499,0.137251,1.000000
49,0.045973,"[[0.0, 0.0, 1.0, 0.0]]",[3404],0.092680,0.138653,1.000000
50,0.049438,"[[1.0, 0.0, 1.0, 0.0]]",[3400],0.086162,0.135600,1.000000
51,0.046114,"[[1.0, 0.0, 1.0, 0.0]]",[324],0.088211,0.134326,1.000000
52,0.046733,"[[1.0, 0.0, 1.0, 0.0]]",[5337],0.094762,0.141495,1.000000
53,0.060301,"[[0.0, 0.0, 1.0, 0.0]]",[1645],0.092485,0.152786,1.000000
54,0.049395,"[[0.0, 0.0, 1.0, 0.0]]",[4732],0.100175,0.149570,1.000000
55,0.048456,"[[0.0, 0.0, 1.0, 0.0]]",[728],0.097961,0.146417,1.000000
56,0.046672,"[[0.0, 0.0, 1.0, 0.0]]",[4141],0.107239,0.153911,1.000000
57,0.049583,"[[0.0, 0.0, 1.0, 0.0]]",[5046],0.103009,0.152592,1.000000
58,0.046276,"[[0.0, 0.0, 1.0, 1.0]]",[2537],0.109519,0.155795,1.000000
59,0.047273,"[[1.0, 0.0, 1.0, 0.0]]",[4025],0.130491,0.177764,1.000000
