iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000461,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[637, 1383]",0.086911,0.087371,0.129577,0.000000
1,0.008134,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[3525],0.008977,0.017111,0.412556,0.000000
2,0.000712,"[[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[3200],0.005016,0.005728,0.807018,0.000000
3,0.000577,"[[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]]",[68],0.002710,0.003287,0.814159,0.000000
4,0.014791,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[2617],0.003640,0.018431,0.893204,0.386555
5,0.000491,"[[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]]",[3505],0.001427,0.001918,0.920000,0.422018
6,0.017495,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2698],0.001288,0.018783,0.989247,0.450980
7,0.000505,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[631],0.001232,0.001737,1.000000,0.455446
8,0.017726,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2703],0.001338,0.019065,1.000000,0.505495
9,0.016488,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[3256],0.001356,0.017844,1.000000,0.676471
10,0.006223,"[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]]",[2745],0.001099,0.007322,1.000000,0.851852
11,0.012407,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[3261],0.000914,0.013321,1.000000,0.958333
12,0.000447,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[67],0.000860,0.001307,1.000000,1.000000
13,0.005761,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3500],0.000861,0.006622,1.000000,1.000000
14,0.006194,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3240],0.001017,0.007211,1.000000,1.000000
15,0.006120,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2720],0.000836,0.006956,1.000000,1.000000
16,0.006941,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[630],0.000963,0.007904,1.000000,1.000000
17,0.006920,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3509],0.000850,0.007770,1.000000,1.000000
18,0.007522,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[636],0.000975,0.008497,1.000000,1.000000
19,0.007356,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[629],0.000979,0.008335,1.000000,1.000000
20,0.007495,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[616],0.000864,0.008359,1.000000,1.000000
21,0.007941,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[635],0.001035,0.008976,1.000000,1.000000
22,0.008083,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3499],0.000889,0.008972,1.000000,1.000000
23,0.008621,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[628],0.001084,0.009705,1.000000,1.000000
24,0.009108,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2716],0.001165,0.010272,1.000000,1.000000
25,0.009230,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2628],0.000961,0.010191,1.000000,1.000000
26,0.009567,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2630],0.000980,0.010547,1.000000,1.000000
27,0.009148,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2713],0.001160,0.010308,1.000000,1.000000
28,0.009646,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2710],0.001055,0.010701,1.000000,1.000000
29,0.010026,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[632],0.001044,0.011070,1.000000,1.000000
30,0.010059,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2715],0.001284,0.011343,1.000000,1.000000
31,0.010383,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2712],0.001276,0.011659,1.000000,1.000000
32,0.010430,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2717],0.001038,0.011467,1.000000,1.000000
33,0.011070,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[639],0.001062,0.012132,1.000000,1.000000
34,0.010142,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[974],0.001444,0.011586,1.000000,1.000000
35,0.011039,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3237],0.001307,0.012347,1.000000,1.000000
36,0.010738,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3232],0.001333,0.012070,1.000000,1.000000
37,0.011130,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[614],0.001338,0.012469,1.000000,1.000000
38,0.010819,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3511],0.001101,0.011921,1.000000,1.000000
39,0.010736,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1939],0.001649,0.012384,1.000000,1.000000
40,0.010617,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3510],0.001168,0.011785,1.000000,1.000000
41,0.011886,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5482],0.001516,0.013402,1.000000,1.000000
42,0.010882,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5497],0.001440,0.012322,1.000000,1.000000
43,0.010911,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5483],0.001462,0.012373,1.000000,1.000000
44,0.010672,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[979],0.001534,0.012206,1.000000,1.000000
