iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000425,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]","[2487, 5540]",0.035101,0.035526,0.256410
1,0.043408,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[4401],0.035477,0.078885,0.256410
2,0.044764,"[[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[1188],0.035829,0.080593,0.256410
3,0.048246,"[[1.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",[3861],0.037838,0.086084,0.270270
4,0.041704,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[1874],0.038097,0.079800,0.263158
5,0.042804,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[2885],0.039205,0.082009,0.312500
6,0.043095,"[[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",[1503],0.045169,0.088264,0.344828
7,0.042849,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3352],0.041463,0.084313,0.344828
8,0.042846,"[[1.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",[3092],0.043160,0.086006,0.370370
9,0.043020,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[5116],0.045280,0.088300,0.307692
10,0.044161,"[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[4786],0.048296,0.092457,0.476190
11,0.045142,"[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[594],0.054081,0.099222,0.625000
12,0.043720,"[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]]",[3913],0.056684,0.100404,0.625000
13,0.043737,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[352],0.058676,0.102413,0.625000
14,0.055035,"[[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3577],0.064565,0.119600,0.625000
15,0.044703,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[4835],0.073041,0.117744,0.625000
16,0.044877,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2705],0.068277,0.113154,1.000000
17,0.044003,"[[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]]",[140],0.071745,0.115748,1.000000
18,0.047561,"[[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4744],0.081948,0.129509,1.000000
19,0.044606,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3827],0.085176,0.129782,1.000000
20,0.045599,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3969],0.082308,0.127907,1.000000
21,0.045194,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3322],0.086166,0.131361,1.000000
22,0.045519,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[712],0.088751,0.134269,1.000000
23,0.050807,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[2763],0.098150,0.148957,1.000000
24,0.048047,"[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[3876],0.099982,0.148029,1.000000
25,0.046424,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3556],0.109132,0.155556,1.000000
26,0.045803,"[[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[1420],0.110008,0.155812,1.000000
27,0.047240,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[2187],0.118774,0.166014,1.000000
28,0.047105,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[4761],0.115978,0.163084,1.000000
29,0.053141,"[[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[92],0.133877,0.187018,1.000000
30,0.048123,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[27],0.125902,0.174025,1.000000
31,0.046845,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[526],0.131881,0.178726,1.000000
32,0.048151,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3465],0.134767,0.182918,1.000000
33,0.048146,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[5398],0.147641,0.195787,1.000000
34,0.048090,"[[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3210],0.144901,0.192991,1.000000
35,0.049419,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]]",[3435],0.158499,0.207918,1.000000
