iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000468,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 0.0, 1.0]]","[3560, 4650]",0.035116,0.035584,0.176471
1,0.041716,"[[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[3023],0.037320,0.079037,0.179641
2,0.032818,"[[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",[4400],0.037778,0.070596,0.223881
3,0.034371,"[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[3320],0.040573,0.074944,0.240000
4,0.032994,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1913],0.038817,0.071811,0.357143
5,0.034450,"[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]]",[3741],0.044008,0.078458,0.789474
6,0.034682,"[[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",[37],0.041303,0.075986,0.258621
7,0.035401,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[3373],0.040422,0.075823,0.731707
8,0.035621,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4350],0.041938,0.077559,0.612245
9,0.039153,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[4780],0.047361,0.086514,0.370370
10,0.038659,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3335],0.045500,0.084158,0.283019
11,0.035351,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2370],0.045839,0.081190,0.810811
12,0.035795,"[[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[2907],0.048040,0.083834,0.714286
13,0.037225,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[5307],0.054295,0.091519,0.789474
14,0.056709,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2026],0.067148,0.123856,1.000000
15,0.061111,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[2060],0.056379,0.117490,1.000000
16,0.038900,"[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]]",[3742],0.062288,0.101188,1.000000
17,0.037017,"[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[1489],0.062009,0.099026,1.000000
18,0.044126,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2847],0.069368,0.113494,0.337079
19,0.040078,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[3041],0.072224,0.112302,0.857143
20,0.036778,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[3791],0.077027,0.113805,1.000000
21,0.043007,"[[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3984],0.081804,0.124811,1.000000
22,0.036484,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2543],0.078571,0.115055,0.846154
23,0.037175,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[4267],0.080778,0.117952,1.000000
24,0.038896,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[5037],0.083496,0.122392,1.000000
25,0.038089,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[2302],0.084112,0.122201,1.000000
26,0.037358,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[1512],0.095608,0.132966,1.000000
27,0.042018,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[763],0.098060,0.140078,1.000000
28,0.037869,"[[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[807],0.092204,0.130073,0.846154
29,0.044950,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3281],0.094735,0.139685,0.846154
30,0.039096,"[[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[3244],0.094584,0.133680,0.846154
31,0.038403,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[228],0.104977,0.143380,1.000000
32,0.038447,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[1764],0.117932,0.156379,1.000000
33,0.038381,"[[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1460],0.126801,0.165182,1.000000
34,0.049349,"[[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[4289],0.121011,0.170360,1.000000
35,0.038576,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[5588],0.127541,0.166117,0.882353
36,0.038528,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2681],0.148475,0.187002,0.810811
37,0.038417,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[3806],0.133425,0.171842,1.000000
38,0.040197,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[3193],0.139241,0.179438,1.000000
39,0.038912,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[496],0.144235,0.183147,0.909091
40,0.040987,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2979],0.152981,0.193968,1.000000
41,0.041670,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[5597],0.159461,0.201131,1.000000
42,0.044658,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[4876],0.169611,0.214269,1.000000
43,0.039864,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[4328],0.183654,0.223519,1.000000
44,0.044041,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[2040],0.193141,0.237182,1.000000
45,0.044185,"[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[118],0.221301,0.265486,1.000000
46,0.039216,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2016],0.197179,0.236395,1.000000
47,0.040646,"[[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[501],0.237871,0.278517,1.000000
48,0.040208,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[1720],0.217019,0.257228,1.000000
49,0.040465,"[[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[4282],0.221519,0.261984,1.000000
50,0.041261,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[3827],0.228936,0.270197,1.000000
51,0.040897,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[4760],0.258536,0.299433,1.000000
52,0.040779,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2627],0.265035,0.305814,1.000000
53,0.044177,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[3721],0.268237,0.312414,1.000000
54,0.044181,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[3826],0.253891,0.298073,1.000000
55,0.042507,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[1793],0.292657,0.335164,1.000000
56,0.042014,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[4169],0.284087,0.326101,1.000000
57,0.046441,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2625],0.257717,0.304158,1.000000
58,0.042247,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3532],0.289784,0.332031,1.000000
59,0.046080,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[4217],0.296816,0.342895,1.000000
