iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000404,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]","[227, 608]",0.038071,0.038475,0.007089,0.000000
1,0.002588,"[[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[3247],0.024542,0.027131,0.088235,0.000000
2,0.002986,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2768],0.029751,0.032737,0.122951,0.000000
3,0.003402,"[[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[353],0.032023,0.035426,0.194805,0.000000
4,0.006929,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[3802],0.008694,0.015624,0.160920,0.000000
5,0.003560,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[686],0.007770,0.011330,0.184211,0.000000
6,0.010298,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[3034],0.007710,0.018008,0.218750,0.000000
7,0.001209,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2662],0.007451,0.008660,0.259259,0.000000
8,0.001257,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[309],0.007752,0.009010,0.250000,0.000000
9,0.001264,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2655],0.008769,0.010032,0.255319,0.000000
10,0.004883,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[508],0.007437,0.012320,0.370370,0.000000
11,0.008409,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3554],0.013655,0.022064,0.666667,0.000000
12,0.001384,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[678],0.008352,0.009736,0.800000,0.000000
13,0.003579,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3557],0.009863,0.013442,0.882353,0.000000
14,0.001356,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[510],0.008257,0.009613,1.000000,0.000000
15,0.012598,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[311],0.007999,0.020597,1.000000,0.000000
16,0.001388,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3561],0.010819,0.012207,0.928571,0.000000
17,0.001508,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3483],0.010424,0.011932,1.000000,0.014299
18,0.001392,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4234],0.009043,0.010435,1.000000,0.014866
19,0.014569,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[3789],0.009227,0.023795,1.000000,0.015957
20,0.005083,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[3798],0.007320,0.012403,1.000000,0.016797
21,0.006789,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2093],0.009747,0.016535,1.000000,0.020243
22,0.006928,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[750],0.008902,0.015830,1.000000,0.024430
23,0.001724,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4139],0.007151,0.008876,1.000000,0.027273
24,0.023623,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[3385],0.007411,0.031034,1.000000,0.040872
25,0.001074,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[230],0.005300,0.006374,1.000000,0.043353
