iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000697,"[[1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0]]","[4126, 3031]",0.041471,0.042168,0.186813,0.000000
1,0.003597,"[[0.0, 0.0, 0.0, 0.0]]",[3485],0.010397,0.013994,0.211180,0.000000
2,0.000767,"[[0.0, 0.0, 0.0, 1.0]]",[2068],0.009222,0.009990,0.809524,0.000000
3,0.000746,"[[0.0, 0.0, 1.0, 1.0]]",[3832],0.002631,0.003376,0.850000,0.000000
4,0.000468,"[[1.0, 1.0, 0.0, 1.0]]",[2039],0.000915,0.001383,1.000000,0.285714
5,0.000542,"[[1.0, 0.0, 1.0, 1.0]]",[4734],0.000887,0.001429,1.000000,0.352941
6,0.006798,"[[1.0, 1.0, 1.0, 1.0]]",[4128],0.000833,0.007631,1.000000,0.529412
7,0.000503,"[[1.0, 1.0, 1.0, 1.0]]",[4096],0.000925,0.001429,1.000000,1.000000
8,0.002518,"[[1.0, 1.0, 0.0, 1.0]]",[3828],0.000874,0.003392,1.000000,1.000000
9,0.002289,"[[1.0, 1.0, 0.0, 1.0]]",[3829],0.000898,0.003187,1.000000,1.000000
10,0.002311,"[[1.0, 1.0, 0.0, 1.0]]",[3831],0.001119,0.003430,1.000000,1.000000
11,0.002430,"[[1.0, 1.0, 0.0, 1.0]]",[2064],0.000923,0.003353,1.000000,1.000000
12,0.002474,"[[1.0, 0.0, 1.0, 1.0]]",[4740],0.000953,0.003427,1.000000,1.000000
13,0.002363,"[[1.0, 1.0, 0.0, 1.0]]",[2063],0.000928,0.003290,1.000000,1.000000
14,0.002375,"[[1.0, 0.0, 1.0, 1.0]]",[2053],0.001001,0.003376,1.000000,1.000000
15,0.002408,"[[1.0, 1.0, 0.0, 1.0]]",[4129],0.000962,0.003370,1.000000,1.000000
16,0.002577,"[[1.0, 0.0, 1.0, 1.0]]",[4732],0.000983,0.003561,1.000000,1.000000
17,0.002909,"[[1.0, 1.0, 1.0, 1.0]]",[4109],0.001244,0.004153,1.000000,1.000000
18,0.002592,"[[1.0, 0.0, 1.0, 1.0]]",[4752],0.001011,0.003603,1.000000,1.000000
19,0.002567,"[[1.0, 0.0, 1.0, 1.0]]",[4739],0.001013,0.003580,1.000000,1.000000
20,0.002526,"[[1.0, 0.0, 1.0, 1.0]]",[4741],0.001007,0.003533,1.000000,1.000000
21,0.002507,"[[1.0, 0.0, 1.0, 1.0]]",[4754],0.001007,0.003514,1.000000,1.000000
22,0.002545,"[[1.0, 1.0, 1.0, 1.0]]",[4125],0.001181,0.003727,1.000000,1.000000
23,0.002656,"[[1.0, 1.0, 0.0, 1.0]]",[2078],0.001191,0.003847,1.000000,1.000000
24,0.002605,"[[1.0, 0.0, 1.0, 1.0]]",[4733],0.001048,0.003653,1.000000,1.000000
25,0.002611,"[[1.0, 0.0, 0.0, 1.0]]",[4742],0.000927,0.003538,1.000000,1.000000
26,0.002504,"[[1.0, 1.0, 1.0, 1.0]]",[4108],0.001301,0.003805,1.000000,1.000000
27,0.003382,"[[1.0, 1.0, 1.0, 1.0]]",[4121],0.001953,0.005335,1.000000,1.000000
28,0.002560,"[[1.0, 1.0, 1.0, 1.0]]",[4105],0.001281,0.003841,1.000000,1.000000
29,0.002709,"[[1.0, 1.0, 1.0, 1.0]]",[4124],0.001916,0.004625,1.000000,1.000000
30,0.002944,"[[1.0, 0.0, 0.0, 1.0]]",[3825],0.000977,0.003921,1.000000,1.000000
31,0.002599,"[[1.0, 0.0, 0.0, 1.0]]",[2077],0.000984,0.003583,1.000000,1.000000
32,0.002630,"[[1.0, 0.0, 0.0, 1.0]]",[2048],0.000985,0.003615,1.000000,1.000000
33,0.002674,"[[1.0, 1.0, 0.0, 1.0]]",[2042],0.001221,0.003896,1.000000,1.000000
34,0.002751,"[[1.0, 1.0, 0.0, 1.0]]",[2040],0.001251,0.004002,1.000000,1.000000
35,0.002702,"[[1.0, 1.0, 0.0, 1.0]]",[4743],0.001220,0.003923,1.000000,1.000000
