iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000743,"[1.0, 0.0]","[4120, 4107]",0.000511,0.001254,0.419753
1,0.002563,[0.0],[3322],0.000716,0.003279,0.419753
2,0.003268,[0.0],[3832],0.000561,0.003829,0.478873
3,0.003332,[0.0],[2053],0.000938,0.004271,0.478873
4,0.002712,[0.0],[4735],0.000331,0.003043,0.596491
5,0.002856,[0.0],[4736],0.000666,0.003522,0.596491
6,0.002309,[0.0],[3827],0.000477,0.002786,0.641509
7,0.002690,[0.0],[3826],0.000673,0.003362,0.653846
8,0.002365,[0.0],[3831],0.000340,0.002704,0.723404
9,0.002818,[0.0],[2063],0.000530,0.003348,0.723404
10,0.002335,[0.0],[4129],0.000426,0.002761,0.875000
11,0.002458,[1.0],[4126],0.000356,0.002814,0.918919
12,0.002653,[0.0],[2046],0.000375,0.003028,0.937500
13,0.002620,[1.0],[4125],0.000386,0.003006,0.871795
14,0.003842,[0.0],[4754],0.000494,0.004336,0.971429
15,0.002824,[0.0],[2040],0.000367,0.003191,1.000000
16,0.002786,[1.0],[4128],0.000686,0.003471,0.971429
17,0.003033,[1.0],[4109],0.000388,0.003420,0.971429
18,0.002985,[0.0],[2078],0.000406,0.003391,0.971429
19,0.002745,[0.0],[4734],0.000365,0.003110,0.971429
20,0.002931,[0.0],[4752],0.000506,0.003437,0.971429
21,0.002711,[0.0],[4741],0.000399,0.003110,0.971429
22,0.002745,[0.0],[4743],0.000365,0.003110,0.971429
23,0.002849,[0.0],[2042],0.000367,0.003216,0.971429
24,0.003292,[0.0],[2039],0.000594,0.003887,0.971429
25,0.003416,[1.0],[4108],0.001379,0.004795,0.971429
26,0.002925,[0.0],[2080],0.000851,0.003777,0.971429
27,0.003125,[1.0],[4121],0.000443,0.003568,0.971429
28,0.003615,[1.0],[4105],0.000483,0.004098,0.971429
29,0.003176,[0.0],[4742],0.000417,0.003593,0.971429
30,0.002834,[1.0],[4124],0.000385,0.003219,0.971429
31,0.002804,[0.0],[2041],0.000382,0.003186,0.971429
32,0.002794,[0.0],[2045],0.000378,0.003172,0.971429
33,0.002901,[0.0],[2044],0.000668,0.003568,0.971429
34,0.003250,[1.0],[4106],0.000699,0.003949,0.971429
35,0.003894,[1.0],[4117],0.000810,0.004703,0.971429
36,0.003606,[1.0],[4104],0.000393,0.003999,0.971429
37,0.003484,[1.0],[4102],0.000443,0.003927,0.971429
38,0.002923,[0.0],[2047],0.000430,0.003352,0.971429
39,0.003161,[1.0],[4097],0.000417,0.003578,0.971429
40,0.002935,[0.0],[2064],0.000410,0.003345,0.971429
41,0.002924,[0.0],[2048],0.000392,0.003316,0.971429
42,0.002740,[0.0],[2061],0.000381,0.003122,0.971429
43,0.002913,[0.0],[2077],0.000538,0.003451,0.971429
44,0.004947,[0.0],[2059],0.000513,0.005460,0.971429
45,0.003108,[1.0],[4116],0.000419,0.003526,0.971429
46,0.003193,[1.0],[4101],0.000829,0.004021,0.971429
47,0.002860,[0.0],[3825],0.000396,0.003256,0.971429
48,0.003210,[0.0],[4753],0.000426,0.003636,0.971429
49,0.003004,[1.0],[4096],0.000478,0.003482,0.971429
50,0.002723,[0.0],[4755],0.000398,0.003121,0.971429
51,0.002979,[0.0],[2062],0.000407,0.003386,0.971429
52,0.003068,[0.0],[2060],0.000475,0.003543,0.971429
53,0.002903,[0.0],[2079],0.000637,0.003540,0.971429
54,0.002953,[0.0],[3829],0.000639,0.003591,0.971429
55,0.003658,[0.0],[3828],0.000562,0.004221,0.971429
56,0.003486,[0.0],[2075],0.000447,0.003933,0.971429
57,0.003835,[0.0],[2076],0.002112,0.005947,0.971429
58,0.003940,[0.0],[2054],0.000591,0.004531,0.971429
59,0.003066,[0.0],[4732],0.000427,0.003493,0.971429
