iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000431,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]","[3883, 3399]",0.035072,0.035504,0.060606
1,0.045173,"[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]",[4431],0.036930,0.082103,0.178571
2,0.042311,"[[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]]",[1909],0.035735,0.078046,0.500000
3,0.042098,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[3328],0.044579,0.086677,0.542857
4,0.042778,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[1525],0.039869,0.082647,0.641975
5,0.043466,"[[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[2167],0.039334,0.082799,0.666667
6,0.044198,"[[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4762],0.043911,0.088109,0.666667
7,0.043924,"[[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]]",[3363],0.042480,0.086404,0.666667
8,0.044078,"[[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[5293],0.043909,0.087987,0.708861
9,0.043872,"[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[5427],0.045902,0.089774,1.000000
10,0.044231,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[4096],0.057189,0.101419,0.980000
11,0.043762,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[4769],0.050724,0.094486,0.980000
12,0.044399,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4400],0.051939,0.096338,1.000000
13,0.045378,"[[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[3775],0.053175,0.098554,0.980000
14,0.044827,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[4362],0.055785,0.100613,1.000000
15,0.044572,"[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]]",[4888],0.057281,0.101853,1.000000
16,0.045883,"[[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[1476],0.060229,0.106111,1.000000
17,0.045466,"[[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[2554],0.063521,0.108988,1.000000
18,0.045886,"[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[2127],0.074467,0.120353,1.000000
19,0.046181,"[[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[3648],0.071728,0.117909,1.000000
20,0.056666,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[1960],0.073398,0.130064,1.000000
21,0.047033,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[1535],0.077841,0.124874,1.000000
22,0.055610,"[[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]]",[3969],0.079430,0.135040,1.000000
23,0.046332,"[[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[4249],0.093794,0.140125,1.000000
24,0.046006,"[[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4285],0.090321,0.136327,1.000000
25,0.046441,"[[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]]",[3185],0.088534,0.134975,1.000000
26,0.046354,"[[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[567],0.092695,0.139049,1.000000
27,0.064097,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[37],0.096180,0.160276,1.000000
28,0.053399,"[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]",[4903],0.100033,0.153432,1.000000
29,0.048095,"[[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]]",[1694],0.101628,0.149723,1.000000
30,0.047610,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[3247],0.113903,0.161513,1.000000
31,0.048995,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1517],0.119091,0.168086,1.000000
32,0.049537,"[[0.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[973],0.122757,0.172294,1.000000
33,0.049122,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4330],0.118165,0.167287,1.000000
34,0.049655,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3808],0.128634,0.178288,1.000000
35,0.047508,"[[0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[5444],0.146407,0.193915,1.000000
36,0.049212,"[[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4737],0.151311,0.200523,1.000000
37,0.050476,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[486],0.138350,0.188826,1.000000
38,0.054870,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[3320],0.157747,0.212617,1.000000
39,0.050942,"[[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[2078],0.160322,0.211265,1.000000
40,0.050554,"[[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3832],0.162161,0.212715,1.000000
41,0.049532,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4315],0.161435,0.210966,1.000000
42,0.049662,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[3321],0.165727,0.215389,1.000000
43,0.048672,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[4759],0.198709,0.247381,1.000000
44,0.049871,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[2888],0.184398,0.234269,1.000000
45,0.051004,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3815],0.190366,0.241370,1.000000
46,0.050566,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3867],0.208805,0.259371,1.000000
47,0.055188,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]]",[4333],0.194651,0.249838,1.000000
48,0.058916,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[2622],0.200549,0.259466,1.000000
49,0.050653,"[[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[5588],0.234292,0.284945,1.000000
50,0.054098,"[[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[3429],0.212464,0.266562,1.000000
