iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000785,"[1.0, 0.0]","[3217, 2863]",0.000366,0.001151,0.019381
1,0.002833,[0.0],[37],0.000340,0.003173,0.035322
2,0.003333,[0.0],[2799],0.000354,0.003687,0.052705
3,0.004369,[0.0],[3499],0.000448,0.004817,0.080146
4,0.004052,[0.0],[3695],0.000361,0.004413,0.140127
5,0.004678,[0.0],[358],0.000468,0.005146,0.285714
6,0.004016,[0.0],[4241],0.000361,0.004377,0.299320
7,0.004027,[0.0],[196],0.000362,0.004389,0.264706
8,0.005628,[0.0],[5450],0.000463,0.006092,0.473118
9,0.006268,[0.0],[573],0.000481,0.006749,0.333333
10,0.003905,[1.0],[3234],0.000389,0.004293,0.290749
11,0.005593,[0.0],[5307],0.000625,0.006217,0.333333
12,0.004435,[0.0],[2989],0.000407,0.004842,0.464789
13,0.004710,[0.0],[3222],0.000713,0.005423,0.439394
14,0.005093,[1.0],[3872],0.000391,0.005484,0.468085
15,0.005370,[0.0],[3910],0.000455,0.005825,0.468085
16,0.007071,[0.0],[2629],0.000465,0.007536,0.528000
17,0.005666,[0.0],[3012],0.000536,0.006202,0.653465
18,0.006185,[0.0],[3870],0.000536,0.006720,0.687500
19,0.005420,[1.0],[633],0.000435,0.005855,0.370370
20,0.006216,[0.0],[2434],0.000894,0.007110,0.424242
21,0.005523,[0.0],[1269],0.000455,0.005977,0.542636
22,0.007101,[0.0],[3463],0.000458,0.007559,0.479452
23,0.006115,[0.0],[4943],0.000443,0.006559,0.573770
24,0.007442,[0.0],[2690],0.000612,0.008054,0.573770
25,0.006057,[0.0],[3514],0.000475,0.006532,0.589147
26,0.006667,[0.0],[5498],0.001076,0.007744,0.627119
27,0.004962,[0.0],[638],0.000390,0.005353,0.734694
28,0.005446,[0.0],[2622],0.000421,0.005867,0.734694
29,0.005085,[1.0],[634],0.000452,0.005538,0.603448
30,0.006686,[1.0],[645],0.000435,0.007121,0.649573
31,0.005445,[0.0],[1944],0.000415,0.005860,0.710280
32,0.006372,[0.0],[1941],0.000437,0.006809,0.737864
33,0.005907,[0.0],[637],0.000418,0.006325,0.770833
34,0.005820,[0.0],[3243],0.000549,0.006369,0.795699
35,0.005940,[0.0],[1940],0.000438,0.006378,0.804348
36,0.006255,[1.0],[647],0.000460,0.006715,0.745098
37,0.005967,[0.0],[5327],0.000498,0.006465,0.690909
38,0.007351,[0.0],[640],0.000681,0.008033,0.767677
39,0.005961,[0.0],[2633],0.000536,0.006496,0.817204
40,0.007234,[0.0],[3242],0.000856,0.008091,0.853933
41,0.006317,[1.0],[2708],0.000761,0.007078,0.817204
42,0.007999,[0.0],[3237],0.000595,0.008594,0.853933
43,0.006533,[1.0],[2709],0.000482,0.007015,0.817204
44,0.007467,[0.0],[2716],0.000641,0.008109,0.853933
45,0.006790,[0.0],[4235],0.000471,0.007261,0.853933
46,0.007939,[0.0],[635],0.000978,0.008916,0.853933
47,0.007134,[0.0],[636],0.000460,0.007595,0.840909
48,0.007957,[0.0],[2617],0.000511,0.008468,0.840909
49,0.008408,[0.0],[974],0.000517,0.008925,0.840909
50,0.007477,[1.0],[3875],0.000507,0.007984,0.840909
51,0.009058,[1.0],[2706],0.000506,0.009564,0.853933
52,0.008574,[0.0],[2689],0.000835,0.009409,0.853933
53,0.007953,[0.0],[2715],0.000914,0.008867,0.853933
54,0.008242,[0.0],[1939],0.000525,0.008766,0.853933
55,0.009037,[0.0],[5497],0.000504,0.009541,0.853933
56,0.009516,[1.0],[2707],0.000522,0.010038,0.853933
57,0.009015,[0.0],[3583],0.000601,0.009616,0.853933
58,0.009164,[0.0],[2688],0.000538,0.009702,0.853933
59,0.009273,[1.0],[3241],0.000554,0.009826,0.853933
