iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000513,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[2647, 2342]",0.071199,0.071712,0.090990,0.000000
1,0.000994,"[[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[3247],0.013668,0.014662,0.410959,0.000000
2,0.000686,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[2756],0.003490,0.004176,0.503311,0.011321
3,0.000671,"[[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2679],0.003575,0.004246,0.826087,0.025424
4,0.000587,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3221],0.001690,0.002276,0.853933,0.028846
5,0.004838,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3234],0.001503,0.006341,0.853933,0.144231
6,0.000597,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[2731],0.001607,0.002204,0.853933,0.197368
7,0.000588,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3875],0.001238,0.001826,0.853933,0.210526
8,0.000585,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3882],0.001423,0.002009,1.000000,0.526316
9,0.006590,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3871],0.001134,0.007724,1.000000,0.677966
10,0.000532,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3857],0.001027,0.001559,1.000000,0.813559
11,0.000558,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[3313],0.000909,0.001466,1.000000,0.827586
12,0.000524,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3305],0.001945,0.002469,1.000000,0.862069
13,0.000533,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[6],0.000939,0.001472,1.000000,0.892857
14,0.053153,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3877],0.000894,0.054047,1.000000,0.910714
15,0.000548,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1528],0.000963,0.001511,1.000000,1.000000
16,0.006544,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3202],0.000939,0.007483,1.000000,1.000000
17,0.006860,"[[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3210],0.000979,0.007839,1.000000,1.000000
18,0.006902,"[[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3225],0.000982,0.007885,1.000000,1.000000
19,0.007139,"[[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[5300],0.000967,0.008107,1.000000,1.000000
20,0.007466,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3004],0.001060,0.008526,1.000000,1.000000
21,0.007546,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[5292],0.001157,0.008704,1.000000,1.000000
22,0.007460,"[[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3299],0.001261,0.008721,1.000000,1.000000
23,0.008166,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3306],0.001171,0.009337,1.000000,1.000000
24,0.008536,"[[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",[3286],0.001153,0.009689,1.000000,1.000000
25,0.009128,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3255],0.001226,0.010354,1.000000,1.000000
26,0.008694,"[[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3199],0.001107,0.009802,1.000000,1.000000
27,0.008960,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[3226],0.001194,0.010155,1.000000,1.000000
28,0.009374,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[2081],0.001222,0.010597,1.000000,1.000000
