iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000450,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]","[2699, 5217]",0.067497,0.067947,0.100946,0.000000
1,0.000684,"[[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]",[3436],0.003897,0.004581,0.325581,0.000000
2,0.000579,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3266],0.001664,0.002244,0.426667,0.162791
3,0.002956,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3259],0.001589,0.004545,0.603774,0.227273
4,0.004340,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2716],0.001332,0.005671,0.680851,0.283019
5,0.000639,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3303],0.001538,0.002177,0.914286,0.842105
6,0.004588,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3237],0.001009,0.005597,1.000000,0.888889
7,0.000638,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2709],0.001094,0.001732,1.000000,1.000000
8,0.003347,"[[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[1248],0.001195,0.004542,1.000000,1.000000
9,0.003212,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[3235],0.001300,0.004512,1.000000,1.000000
10,0.003126,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[3910],0.001250,0.004376,1.000000,1.000000
