iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000438,"[1.0, 0.0]","[4090, 1913]",0.126405,0.126843,0.086379
1,0.006445,[0.0],[1699],0.129058,0.135503,0.490566
2,0.006049,[0.0],[222],0.130543,0.136592,0.490566
3,0.006222,[0.0],[673],0.131630,0.137852,0.490566
4,0.006409,[0.0],[5002],0.133387,0.139797,0.490566
5,0.006461,[0.0],[3823],0.136420,0.142881,0.490566
6,0.007110,[0.0],[936],0.136813,0.143923,0.490566
7,0.009927,[0.0],[2493],0.146750,0.156678,0.490566
8,0.007564,[0.0],[1009],0.156029,0.163593,0.490566
9,0.007700,[0.0],[2294],0.172274,0.179974,0.490566
10,0.013730,[0.0],[756],0.190017,0.203747,0.490566
11,0.014368,[0.0],[3917],0.175492,0.189860,0.490566
12,0.006683,[0.0],[3720],0.163350,0.170033,0.490566
13,0.006513,[0.0],[3767],0.162366,0.168880,0.490566
14,0.008408,[0.0],[3841],0.169489,0.177897,0.490566
15,0.010072,[0.0],[246],0.161516,0.171588,0.490566
16,0.011353,[0.0],[1355],0.164911,0.176264,0.490566
17,0.006923,[0.0],[279],0.165340,0.172263,0.490566
18,0.008739,[0.0],[4585],0.166317,0.175057,0.490566
19,0.006732,[0.0],[2039],0.164067,0.170799,0.490566
20,0.009035,[0.0],[2286],0.182762,0.191797,0.490566
21,0.011442,[0.0],[3085],0.178955,0.190398,0.490566
22,0.008181,[0.0],[4106],0.194801,0.202982,0.896552
23,0.009464,[0.0],[4104],0.192283,0.201747,0.700000
24,0.007955,[1.0],[4096],0.204167,0.212123,0.869565
25,0.010960,[1.0],[4101],0.244032,0.254992,1.000000
26,0.008629,[0.0],[4120],0.236409,0.245038,1.000000
27,0.009959,[1.0],[4118],0.229099,0.239059,1.000000
28,0.008356,[0.0],[3849],0.246548,0.254904,1.000000
29,0.013624,[0.0],[1474],0.236362,0.249986,1.000000
30,0.008145,[0.0],[4097],0.237907,0.246053,1.000000
31,0.012103,[0.0],[2927],0.240732,0.252835,1.000000
32,0.010611,[0.0],[4093],0.250260,0.260872,1.000000
33,0.010198,[0.0],[1750],0.241828,0.252026,1.000000
34,0.008677,[0.0],[2700],0.240645,0.249322,1.000000
35,0.008006,[0.0],[5578],0.245286,0.253292,1.000000
36,0.010278,[0.0],[1054],0.269446,0.279725,1.000000
37,0.010473,[0.0],[5314],0.246026,0.256500,1.000000
38,0.010861,[0.0],[2440],0.251159,0.262020,1.000000
39,0.009514,[0.0],[4403],0.276570,0.286084,1.000000
40,0.010159,[0.0],[3062],0.266136,0.276295,1.000000
41,0.011396,[0.0],[563],0.265155,0.276551,1.000000
42,0.011064,[0.0],[2576],0.290845,0.301909,1.000000
43,0.012470,[0.0],[635],0.290959,0.303429,1.000000
44,0.010049,[0.0],[3815],0.302854,0.312903,1.000000
45,0.012730,[0.0],[2686],0.310143,0.322873,1.000000
46,0.014868,[0.0],[4622],0.312133,0.327001,1.000000
47,0.012137,[0.0],[2143],0.316750,0.328887,1.000000
48,0.011219,[0.0],[1218],0.335449,0.346668,1.000000
49,0.010538,[0.0],[4065],0.321388,0.331926,1.000000
50,0.014395,[0.0],[1641],0.326899,0.341294,1.000000
51,0.012538,[0.0],[2723],0.340848,0.353386,1.000000
52,0.012998,[0.0],[1903],0.337891,0.350889,1.000000
53,0.013520,[0.0],[3684],0.331533,0.345053,1.000000
54,0.012291,[0.0],[4234],0.355379,0.367671,1.000000
55,0.013771,[0.0],[5135],0.346214,0.359985,1.000000
56,0.013172,[0.0],[4676],0.348907,0.362079,1.000000
57,0.013443,[0.0],[3347],0.346774,0.360217,1.000000
58,0.012842,[0.0],[3209],0.347304,0.360145,1.000000
59,0.013815,[0.0],[3340],0.383626,0.397441,1.000000
