iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000636,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[4101, 1101]",0.305122,0.305758,0.325000,0.000000
1,0.004217,"[[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[3832],0.122136,0.126353,0.742857,0.000000
2,0.003783,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[4730],0.077747,0.081530,0.742857,0.002571
3,0.031844,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[2398],0.078325,0.110169,0.742857,0.011236
4,0.004202,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[2466],0.053028,0.057229,0.742857,0.014888
5,0.144252,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[1990],0.041904,0.186156,0.742857,0.016690
6,0.083733,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[2570],0.041109,0.124842,0.742857,0.048583
7,0.139792,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[1239],0.013433,0.153226,0.742857,0.176471
8,0.001038,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[3920],0.003688,0.004726,0.742857,0.282609
9,0.056209,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[1895],0.002631,0.058840,0.742857,0.590909
10,0.189549,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4102],0.001302,0.190851,0.962963,0.928571
11,0.000591,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4120],0.000877,0.001468,1.000000,1.000000
12,0.016548,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4090],0.001168,0.017716,1.000000,1.000000
13,0.029900,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4124],0.001103,0.031003,1.000000,1.000000
14,0.029814,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4110],0.001535,0.031349,1.000000,1.000000
15,0.034718,"[[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4104],0.001178,0.035896,1.000000,1.000000
16,0.035725,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4091],0.001457,0.037182,1.000000,1.000000
17,0.040358,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4118],0.002400,0.042758,1.000000,1.000000
18,0.042673,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4093],0.001261,0.043933,1.000000,1.000000
19,0.044964,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[3975],0.001376,0.046339,1.000000,1.000000
20,0.047389,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[5451],0.001710,0.049099,1.000000,1.000000
21,0.049915,"[[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[4954],0.001420,0.051335,1.000000,1.000000
