iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.001333,"[1.0, 0.0]","[4478, 807]",0.000500,0.001833,0.007180
1,0.002062,[0.0],[3322],0.000329,0.002392,0.011317
2,0.002071,[0.0],[2602],0.000354,0.002425,0.016236
3,0.002141,[0.0],[4473],0.000323,0.002464,0.032258
4,0.002301,[0.0],[4477],0.000343,0.002644,0.027397
5,0.002392,[0.0],[1622],0.000329,0.002721,0.027735
6,0.002105,[0.0],[2067],0.000327,0.002432,0.023295
7,0.002179,[0.0],[1276],0.000562,0.002741,0.038298
8,0.002374,[0.0],[2220],0.000471,0.002846,0.088670
9,0.003268,[0.0],[1065],0.000577,0.003845,0.264706
10,0.003507,[0.0],[5230],0.000379,0.003886,0.186667
11,0.002391,[0.0],[1131],0.000344,0.002735,0.231884
12,0.003505,[0.0],[832],0.001042,0.004547,0.272727
13,0.002406,[0.0],[1044],0.000390,0.002797,0.185185
14,0.002694,[0.0],[1826],0.000638,0.003332,0.250000
15,0.003171,[0.0],[4121],0.000873,0.004044,0.533333
16,0.002344,[1.0],[1652],0.000332,0.002676,0.640000
17,0.002609,[1.0],[2143],0.000364,0.002973,0.538462
18,0.002763,[0.0],[4222],0.000760,0.003523,0.700000
19,0.002844,[0.0],[839],0.000586,0.003430,0.740741
20,0.002346,[1.0],[2209],0.000398,0.002744,0.628571
21,0.002931,[0.0],[4005],0.000437,0.003368,0.769231
22,0.002956,[0.0],[4114],0.000452,0.003408,0.640000
23,0.002817,[0.0],[1035],0.000761,0.003578,0.695652
24,0.002328,[0.0],[5147],0.000344,0.002672,0.800000
25,0.002945,[1.0],[4111],0.000391,0.003336,0.833333
26,0.002701,[0.0],[5227],0.000424,0.003125,0.952381
27,0.002494,[1.0],[4112],0.000362,0.002856,0.952381
28,0.002970,[1.0],[4013],0.000495,0.003464,0.909091
29,0.002456,[0.0],[827],0.000367,0.002824,0.952381
30,0.002629,[0.0],[5161],0.000376,0.003005,0.952381
31,0.004736,[0.0],[4116],0.001066,0.005802,0.952381
32,0.002762,[0.0],[4497],0.000418,0.003180,0.952381
33,0.002611,[1.0],[1031],0.000395,0.003006,0.952381
34,0.003040,[0.0],[1659],0.000399,0.003439,0.952381
35,0.004016,[1.0],[4015],0.000449,0.004465,0.952381
36,0.002887,[0.0],[2174],0.000404,0.003291,0.952381
37,0.002858,[0.0],[953],0.000416,0.003274,0.952381
38,0.002940,[0.0],[4118],0.000802,0.003742,0.952381
39,0.003463,[0.0],[2135],0.000527,0.003990,0.952381
40,0.002642,[1.0],[835],0.000421,0.003063,0.952381
41,0.002826,[1.0],[4110],0.000407,0.003233,0.952381
42,0.002692,[0.0],[4479],0.000400,0.003092,0.952381
43,0.002734,[0.0],[837],0.000521,0.003256,0.952381
44,0.002697,[0.0],[1654],0.000437,0.003135,0.952381
45,0.002629,[0.0],[1033],0.000410,0.003039,0.952381
46,0.002839,[0.0],[4120],0.000583,0.003422,0.952381
47,0.003508,[0.0],[4484],0.000525,0.004033,0.952381
48,0.003353,[0.0],[2145],0.000442,0.003795,0.952381
49,0.003835,[0.0],[2216],0.000695,0.004530,0.952381
50,0.003200,[0.0],[4488],0.000495,0.003695,0.952381
51,0.002926,[0.0],[828],0.000426,0.003352,0.952381
52,0.002739,[0.0],[4191],0.000412,0.003151,0.952381
53,0.002877,[0.0],[5237],0.000426,0.003302,0.952381
54,0.002776,[0.0],[2211],0.000434,0.003210,0.952381
55,0.002857,[0.0],[5165],0.000418,0.003275,0.952381
56,0.002716,[0.0],[1656],0.000401,0.003117,0.952381
57,0.002688,[0.0],[4481],0.000447,0.003135,0.952381
58,0.002962,[0.0],[1651],0.000595,0.003557,0.952381
59,0.003462,[0.0],[4499],0.001091,0.004553,0.952381
