iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000426,"[1.0, 0.0]","[4111, 772]",0.154933,0.155359,0.024943
1,0.001019,[0.0],[2161],0.158356,0.159375,0.013333
2,0.001191,[0.0],[4316],0.155200,0.156390,0.062500
3,0.000998,[0.0],[1847],0.150992,0.151990,0.094017
4,0.002472,[0.0],[3788],0.161453,0.163926,0.103704
5,0.001863,[0.0],[1667],0.193886,0.195749,0.150000
6,0.001148,[0.0],[4547],0.167168,0.168317,0.176471
7,0.001214,[0.0],[4237],0.169658,0.170872,0.240000
8,0.001956,[0.0],[2177],0.180583,0.182540,0.315789
9,0.001236,[0.0],[4135],0.143362,0.144598,0.333333
10,0.001209,[0.0],[4120],0.147649,0.148858,0.375000
11,0.001741,[0.0],[4116],0.156891,0.158631,0.428571
12,0.001273,[0.0],[4114],0.141896,0.143170,0.428571
13,0.001239,[0.0],[2078],0.151877,0.153116,0.428571
14,0.001791,[0.0],[2138],0.160951,0.162743,0.428571
15,0.001384,[1.0],[4478],0.160563,0.161947,0.705882
16,0.001473,[0.0],[1659],0.180287,0.181759,0.533333
17,0.001844,[0.0],[4115],0.186426,0.188270,0.533333
18,0.002351,[1.0],[1652],0.211993,0.214344,0.625000
19,0.001564,[1.0],[1031],0.207754,0.209317,0.952381
20,0.001543,[1.0],[2143],0.247956,0.249499,0.106383
21,0.002261,[0.0],[3556],0.226706,0.228967,0.119205
22,0.001822,[0.0],[3879],0.214616,0.216438,0.916667
23,0.002455,[0.0],[2174],0.226175,0.228630,0.818182
24,0.002380,[0.0],[4497],0.226521,0.228900,0.900000
25,0.001984,[1.0],[4013],0.262660,0.264644,0.869565
26,0.001779,[0.0],[4766],0.248113,0.249892,0.869565
27,0.001878,[0.0],[3320],0.239613,0.241491,0.909091
28,0.002229,[0.0],[5161],0.244749,0.246978,0.952381
29,0.002814,[0.0],[5147],0.247077,0.249891,0.909091
30,0.002942,[0.0],[2135],0.254152,0.257094,0.952381
31,0.002130,[0.0],[1035],0.257828,0.259958,0.952381
32,0.002323,[0.0],[827],0.272640,0.274963,0.952381
33,0.002215,[0.0],[328],0.279417,0.281632,0.952381
34,0.002169,[0.0],[4401],0.403132,0.405301,0.952381
35,0.002474,[0.0],[5227],0.343728,0.346202,0.952381
36,0.003501,[0.0],[4761],0.366419,0.369921,0.952381
37,0.013323,[0.0],[2037],0.424452,0.437776,0.952381
38,0.003531,[0.0],[4090],0.567308,0.570839,0.952381
39,0.006306,[0.0],[1907],0.419316,0.425622,0.952381
40,0.003749,[0.0],[4318],0.458958,0.462707,0.952381
41,0.003409,[0.0],[3686],0.379187,0.382596,0.952381
42,0.003876,[0.0],[4113],0.490051,0.493926,0.952381
43,0.003238,[0.0],[4314],0.298053,0.301291,0.952381
44,0.002776,[0.0],[1091],0.326381,0.329157,0.952381
45,0.002961,[0.0],[3319],0.436503,0.439464,0.952381
46,0.002902,[0.0],[2867],0.411026,0.413929,0.952381
47,0.003931,[0.0],[1165],0.470986,0.474917,0.952381
48,0.003650,[0.0],[1660],0.434190,0.437841,0.952381
49,0.003847,[0.0],[1397],0.466553,0.470400,0.952381
50,0.003866,[0.0],[2378],0.632961,0.636826,0.952381
51,0.005740,[0.0],[3791],0.398886,0.404626,0.952381
52,0.003901,[0.0],[3398],0.472979,0.476879,0.952381
53,0.024741,[0.0],[351],0.555063,0.579804,0.952381
54,0.006371,[1.0],[4112],0.505700,0.512071,0.952381
55,0.006149,[0.0],[5127],0.457858,0.464007,0.952381
56,0.003989,[0.0],[3920],0.553520,0.557509,0.952381
57,0.004171,[0.0],[3157],0.367573,0.371745,0.952381
58,0.002969,[0.0],[1405],0.358615,0.361585,0.952381
59,0.004389,[0.0],[3844],0.373792,0.378180,0.952381
