iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000560,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[1188, 3536]",0.044187,0.044747,0.064073
1,0.015351,"[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",[4334],0.044872,0.060223,0.075269
2,0.018590,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[3358],0.058856,0.077446,0.080808
3,0.015984,"[[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[2164],0.053252,0.069236,0.080000
4,0.015943,"[[0.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[3876],0.049963,0.065906,0.118644
5,0.016018,"[[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]",[2228],0.051965,0.067983,0.349206
6,0.016356,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[3324],0.063447,0.079803,0.259740
7,0.016676,"[[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]]",[5197],0.055828,0.072504,0.600000
8,0.018558,"[[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]]",[5087],0.068749,0.087306,0.578947
9,0.016879,"[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]]",[1664],0.060031,0.076910,0.823529
10,0.016876,"[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]",[5564],0.064036,0.080913,0.750000
11,0.018032,"[[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4224],0.066920,0.084952,0.750000
12,0.019980,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1730],0.070108,0.090088,1.000000
13,0.017224,"[[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",[937],0.075422,0.092645,1.000000
14,0.017682,"[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]",[3890],0.086651,0.104333,1.000000
15,0.018353,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[1920],0.087274,0.105627,1.000000
16,0.018227,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[95],0.099142,0.117369,0.962963
17,0.018669,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[649],0.088355,0.107023,0.962963
18,0.018715,"[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[2063],0.091406,0.110121,0.962963
19,0.018687,"[[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]]",[4755],0.094006,0.112693,0.962963
20,0.018536,"[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]]",[4486],0.100627,0.119163,0.962963
21,0.020982,"[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[1610],0.105903,0.126885,0.962963
22,0.019053,"[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]",[2523],0.117455,0.136508,0.962963
23,0.018955,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4195],0.116000,0.134955,1.000000
24,0.019149,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]]",[1486],0.131453,0.150602,1.000000
25,0.019252,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[115],0.125323,0.144575,1.000000
26,0.023224,"[[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]]",[4248],0.147947,0.171171,1.000000
27,0.022457,"[[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[3321],0.136106,0.158563,1.000000
28,0.024651,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]]",[4784],0.149175,0.173826,1.000000
29,0.020115,"[[0.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[1505],0.147327,0.167442,1.000000
30,0.020226,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",[338],0.148847,0.169074,1.000000
31,0.023399,"[[0.0, 1.0, 1.0, 0.0, 1.0, 0.0]]",[1439],0.194687,0.218086,1.000000
