iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000811,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 1.0, 0.0, 1.0, 0.0]]","[4223, 4862]",0.055452,0.056262,0.023729,0.000000
1,0.000874,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]]",[4764],0.004739,0.005613,0.039492,0.000000
2,0.000932,"[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]]",[4912],0.008297,0.009229,0.125000,0.000000
3,0.000555,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",[4113],0.001587,0.002142,0.125000,0.023810
4,0.000556,"[[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]",[1054],0.001700,0.002256,0.175000,0.041096
5,0.006237,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1666],0.001258,0.007494,0.198582,0.046512
6,0.003555,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1820],0.001589,0.005144,0.411765,0.111111
7,0.000480,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5235],0.001252,0.001732,0.523810,0.160000
8,0.000485,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4514],0.001124,0.001609,0.625000,0.205128
9,0.000494,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2312],0.001088,0.001582,0.650000,0.307692
10,0.000710,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1128],0.001419,0.002129,0.742857,0.324324
11,0.001113,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[2313],0.001805,0.002918,0.812500,0.545455
12,0.007205,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1189],0.000974,0.008179,0.866667,0.705882
13,0.000480,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4195],0.001110,0.001590,0.903226,0.823529
14,0.000515,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4193],0.001109,0.001624,1.000000,1.000000
15,0.003030,"[[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[5150],0.001091,0.004120,1.000000,1.000000
16,0.003260,"[[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[4009],0.001115,0.004375,1.000000,1.000000
17,0.003045,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4191],0.001278,0.004323,1.000000,1.000000
18,0.003030,"[[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1068],0.001125,0.004155,1.000000,1.000000
19,0.003058,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4226],0.001192,0.004250,1.000000,1.000000
20,0.003177,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4194],0.001239,0.004417,1.000000,1.000000
21,0.003051,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1112],0.001343,0.004394,1.000000,1.000000
22,0.003107,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1729],0.001393,0.004500,1.000000,1.000000
23,0.003297,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1817],0.001356,0.004653,1.000000,1.000000
24,0.003393,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1731],0.001181,0.004574,1.000000,1.000000
25,0.003605,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1733],0.001449,0.005054,1.000000,1.000000
26,0.003764,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1734],0.001367,0.005132,1.000000,1.000000
27,0.003770,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1730],0.001202,0.004972,1.000000,1.000000
28,0.003799,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1831],0.001215,0.005014,1.000000,1.000000
29,0.003744,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5253],0.001386,0.005130,1.000000,1.000000
30,0.003737,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1745],0.001292,0.005029,1.000000,1.000000
31,0.004027,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1825],0.001295,0.005322,1.000000,1.000000
32,0.003999,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1188],0.001467,0.005466,1.000000,1.000000
33,0.004084,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1117],0.001401,0.005485,1.000000,1.000000
34,0.004139,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1116],0.001246,0.005385,1.000000,1.000000
35,0.004093,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1818],0.001496,0.005590,1.000000,1.000000
36,0.004260,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1746],0.001306,0.005567,1.000000,1.000000
37,0.004326,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1826],0.001268,0.005594,1.000000,1.000000
38,0.004429,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5255],0.001599,0.006028,1.000000,1.000000
39,0.004700,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4222],0.001651,0.006351,1.000000,1.000000
40,0.004414,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4597],0.002081,0.006495,1.000000,1.000000
41,0.004445,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4686],0.001773,0.006218,1.000000,1.000000
42,0.004819,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4512],0.001694,0.006513,1.000000,1.000000
43,0.004933,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4687],0.001396,0.006329,1.000000,1.000000
44,0.004973,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1113],0.001431,0.006404,1.000000,1.000000
45,0.004926,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4192],0.001724,0.006650,1.000000,1.000000
46,0.005064,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4598],0.001727,0.006791,1.000000,1.000000
47,0.005487,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5233],0.001789,0.007277,1.000000,1.000000
48,0.005297,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5228],0.001751,0.007048,1.000000,1.000000
49,0.005450,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5234],0.001761,0.007210,1.000000,1.000000
50,0.005453,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]]",[5229],0.001790,0.007243,1.000000,1.000000
51,0.005299,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4690],0.001509,0.006808,1.000000,1.000000
52,0.005481,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[4691],0.001544,0.007025,1.000000,1.000000
53,0.005319,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1843],0.001513,0.006832,1.000000,1.000000
54,0.005706,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1129],0.001697,0.007403,1.000000,1.000000
55,0.005378,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1819],0.001636,0.007014,1.000000,1.000000
56,0.005706,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1844],0.001700,0.007406,1.000000,1.000000
57,0.005513,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1190],0.001563,0.007076,1.000000,1.000000
58,0.005378,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1827],0.001582,0.006959,1.000000,1.000000
59,0.005359,"[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]]",[1196],0.001551,0.006910,1.000000,1.000000
