iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000421,"[[1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0]]","[4114, 1080]",0.049664,0.050085,0.585366,0.000000
1,0.002909,"[[0.0, 0.0, 1.0, 1.0]]",[4106],0.000821,0.003730,0.774194,0.000000
2,0.000414,"[[0.0, 1.0, 1.0, 1.0]]",[4122],0.000750,0.001164,0.888889,0.000000
3,0.003169,"[[0.0, 1.0, 1.0, 1.0]]",[4115],0.000673,0.003842,0.000000,0.000000
4,0.002762,"[[1.0, 1.0, 1.0, 1.0]]",[4090],0.000860,0.003623,0.857143,0.600000
5,0.000415,"[[1.0, 1.0, 1.0, 1.0]]",[4095],0.000734,0.001149,0.923077,0.666667
6,0.000436,"[[0.0, 1.0, 1.0, 1.0]]",[4099],0.000716,0.001152,0.909091,0.714286
7,0.004465,"[[0.0, 1.0, 1.0, 1.0]]",[4118],0.000794,0.005259,0.909091,0.769231
8,0.000511,"[[1.0, 1.0, 1.0, 1.0]]",[4098],0.000797,0.001308,1.000000,0.846154
9,0.000470,"[[1.0, 1.0, 1.0, 1.0]]",[4113],0.000789,0.001259,1.000000,0.923077
10,0.003234,"[[0.0, 1.0, 1.0, 1.0]]",[4100],0.000734,0.003968,1.000000,1.000000
11,0.003030,"[[0.0, 1.0, 0.0, 1.0]]",[2066],0.000769,0.003799,1.000000,1.000000
12,0.003106,"[[0.0, 1.0, 1.0, 1.0]]",[4119],0.000838,0.003944,1.000000,1.000000
13,0.003095,"[[1.0, 0.0, 1.0, 0.0]]",[3881],0.000941,0.004036,1.000000,1.000000
14,0.003211,"[[1.0, 0.0, 1.0, 0.0]]",[3898],0.000915,0.004126,1.000000,1.000000
15,0.003162,"[[0.0, 1.0, 0.0, 1.0]]",[2065],0.000847,0.004010,1.000000,1.000000
16,0.003200,"[[1.0, 0.0, 1.0, 0.0]]",[3909],0.000992,0.004192,1.000000,1.000000
