iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000517,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]","[5262, 1511]",0.067998,0.068516,0.020111,0.000000
1,0.001220,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4764],0.028171,0.029391,0.114286,0.000000
2,0.000677,"[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[3351],0.006155,0.006832,0.152381,0.009288
3,0.007612,"[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4479],0.003332,0.010943,0.310680,0.011278
4,0.000662,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1688],0.003848,0.004510,0.376471,0.016129
5,0.003918,"[[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1683],0.002565,0.006483,0.533333,0.021583
6,0.000737,"[[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5254],0.002167,0.002904,0.533333,0.031915
7,0.000623,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",[1752],0.001933,0.002557,0.615385,0.075000
8,0.000614,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1113],0.001335,0.001949,0.615385,0.200000
9,0.012609,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5248],0.001164,0.013773,0.780488,0.320000
10,0.000577,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1212],0.001044,0.001621,0.709677,0.333333
11,0.001331,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1130],0.001200,0.002531,0.800000,0.500000
12,0.000574,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1211],0.001017,0.001591,0.750000,0.521739
13,0.009536,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1131],0.001032,0.010569,0.820513,0.565217
14,0.015056,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1198],0.001045,0.016101,0.820513,0.608696
15,0.006245,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1115],0.001044,0.007288,0.820513,0.652174
16,0.000587,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1194],0.001033,0.001620,0.857143,0.681818
17,0.006112,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1199],0.001057,0.007170,0.842105,0.727273
18,0.000607,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2323],0.001034,0.001641,0.888889,0.761905
19,0.000608,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[2322],0.001023,0.001632,0.888889,0.800000
20,0.000609,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[4598],0.001160,0.001769,1.000000,1.000000
21,0.005968,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4619],0.001092,0.007061,1.000000,1.000000
22,0.006206,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4608],0.001075,0.007281,1.000000,1.000000
