iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000483,"[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]","[1119, 3466]",0.035362,0.035844,0.231884
1,0.044847,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4397],0.035899,0.080746,0.293578
2,0.046600,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]]",[3824],0.044727,0.091327,0.283186
3,0.046398,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[884],0.036384,0.082782,0.260163
4,0.047211,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[81],0.038300,0.085511,0.524590
5,0.055568,"[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[5572],0.044690,0.100258,0.571429
6,0.054857,"[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]]",[4215],0.044843,0.099700,0.780488
7,0.047860,"[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[4630],0.042902,0.090762,0.930233
8,0.046770,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",[1848],0.048342,0.095112,0.974359
9,0.047222,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[3880],0.046883,0.094105,0.975610
10,0.048272,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[5094],0.049861,0.098133,0.947368
11,0.049451,"[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",[3358],0.070246,0.119696,0.974359
12,0.048092,"[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[1637],0.054245,0.102337,0.974359
13,0.047813,"[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3320],0.055575,0.103387,0.947368
14,0.051564,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[659],0.067445,0.119009,1.000000
15,0.048220,"[[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[1668],0.062896,0.111117,0.947368
16,0.048460,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3933],0.066326,0.114786,0.947368
17,0.059877,"[[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[2197],0.072361,0.132238,0.947368
18,0.049027,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[3483],0.075815,0.124842,1.000000
19,0.048557,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4779],0.084484,0.133041,1.000000
20,0.048371,"[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4342],0.082162,0.130533,1.000000
21,0.049090,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3669],0.088860,0.137950,0.974359
22,0.058787,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[5398],0.092898,0.151685,0.974359
23,0.048507,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[1349],0.090846,0.139353,0.974359
24,0.053830,"[[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[1794],0.099484,0.153314,1.000000
25,0.049563,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[177],0.099430,0.148993,1.000000
26,0.049738,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5250],0.111595,0.161333,1.000000
27,0.048869,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[333],0.110283,0.159152,1.000000
28,0.050652,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[315],0.121653,0.172305,1.000000
29,0.049701,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4400],0.121182,0.170883,1.000000
30,0.051299,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[2313],0.136123,0.187422,1.000000
31,0.062216,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5209],0.133421,0.195637,1.000000
32,0.049307,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[120],0.143610,0.192917,1.000000
33,0.049730,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[2759],0.138506,0.188236,1.000000
34,0.050871,"[[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[5229],0.157957,0.208828,1.000000
35,0.057336,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[2799],0.145901,0.203237,1.000000
36,0.055621,"[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3319],0.154429,0.210050,1.000000
37,0.051313,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4972],0.156402,0.207715,1.000000
38,0.050718,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[3436],0.166972,0.217690,1.000000
39,0.050351,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3805],0.170241,0.220592,1.000000
40,0.050586,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4881],0.173063,0.223649,1.000000
41,0.052976,"[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[5571],0.178840,0.231815,1.000000
42,0.050932,"[[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[4230],0.188707,0.239639,1.000000
43,0.050163,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[1150],0.198300,0.248463,1.000000
44,0.050521,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[2410],0.229723,0.280244,1.000000
45,0.051009,"[[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]]",[5201],0.205860,0.256869,1.000000
46,0.051236,"[[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4110],0.204082,0.255317,1.000000
47,0.051759,"[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]]",[1201],0.216082,0.267841,1.000000
48,0.051826,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[5309],0.232277,0.284103,1.000000
49,0.051383,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4332],0.226326,0.277710,1.000000
50,0.060539,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4325],0.228039,0.288578,1.000000
51,0.051103,"[[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[2122],0.253922,0.305025,1.000000
52,0.051860,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3328],0.243220,0.295080,1.000000
53,0.051588,"[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[4311],0.244468,0.296055,1.000000
54,0.064261,"[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]",[1876],0.260140,0.324401,1.000000
55,0.052000,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[3315],0.270512,0.322512,1.000000
56,0.052786,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",[1128],0.272250,0.325036,1.000000
57,0.053003,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[2778],0.265072,0.318075,1.000000
58,0.053234,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]]",[3718],0.272932,0.326166,1.000000
59,0.057892,"[[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]]",[4738],0.294878,0.352770,1.000000
