iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000480,"[1.0, 0.0]","[3263, 2147]",0.000600,0.001079,0.017400
1,0.003317,[0.0],[37],0.000408,0.003724,0.216867
2,0.003532,[0.0],[5177],0.000413,0.003945,0.216867
3,0.004273,[0.0],[1366],0.000411,0.004684,0.223602
4,0.007867,[0.0],[3785],0.000924,0.008791,0.232258
5,0.007739,[0.0],[2569],0.000526,0.008264,0.172662
6,0.004767,[0.0],[807],0.000585,0.005353,0.188976
7,0.005094,[0.0],[5115],0.000725,0.005819,0.218182
8,0.007600,[0.0],[2035],0.001241,0.008841,0.369231
9,0.007071,[0.0],[1448],0.000581,0.007652,0.369231
10,0.008195,[0.0],[4156],0.000728,0.008923,0.369231
11,0.007327,[0.0],[1427],0.000563,0.007891,0.369231
12,0.011269,[0.0],[1990],0.000617,0.011887,0.480000
13,0.006639,[0.0],[2004],0.000412,0.007051,0.480000
14,0.005030,[0.0],[1842],0.000406,0.005436,0.480000
15,0.005158,[0.0],[1668],0.000471,0.005630,0.480000
16,0.005226,[0.0],[1373],0.000856,0.006082,0.480000
17,0.005410,[0.0],[5083],0.000374,0.005784,0.000000
18,0.004410,[0.0],[349],0.000387,0.004798,0.000000
19,0.004622,[0.0],[5092],0.000357,0.004980,0.000000
20,0.003573,[0.0],[4553],0.000823,0.004396,0.000000
21,0.004981,[1.0],[1454],0.000435,0.005416,0.615385
22,0.005123,[1.0],[3262],0.000448,0.005571,0.631579
23,0.005230,[0.0],[5088],0.000397,0.005627,0.631579
24,0.007576,[0.0],[1847],0.000465,0.008041,0.727273
25,0.005677,[0.0],[5086],0.000509,0.006186,0.615385
26,0.005485,[1.0],[3266],0.000926,0.006410,0.727273
27,0.006663,[0.0],[5085],0.000459,0.007122,0.689655
28,0.006139,[0.0],[5084],0.000502,0.006641,0.714286
29,0.006643,[1.0],[3267],0.000433,0.007075,0.689655
30,0.006824,[1.0],[3268],0.000422,0.007246,0.774194
31,0.007222,[0.0],[3264],0.000527,0.007749,0.689655
32,0.007769,[0.0],[5099],0.000456,0.008225,0.689655
33,0.008054,[0.0],[1746],0.000425,0.008478,0.689655
34,0.012825,[1.0],[2554],0.000633,0.013458,0.864865
35,0.008523,[0.0],[2565],0.000570,0.009093,0.812500
36,0.008273,[1.0],[2555],0.000510,0.008783,0.914286
37,0.010429,[1.0],[2564],0.000763,0.011191,0.780488
38,0.009088,[0.0],[2567],0.000435,0.009523,0.914286
39,0.008934,[0.0],[2557],0.000507,0.009441,0.848485
40,0.009036,[1.0],[2556],0.000498,0.009534,0.914286
41,0.009923,[0.0],[2558],0.000445,0.010368,0.914286
42,0.009092,[1.0],[2563],0.000447,0.009538,0.914286
43,0.010032,[0.0],[2559],0.000505,0.010537,0.914286
44,0.010183,[0.0],[2566],0.000496,0.010680,0.914286
45,0.010413,[0.0],[4602],0.000533,0.010946,0.914286
46,0.013841,[0.0],[5087],0.000590,0.014431,0.914286
47,0.032897,[0.0],[4647],0.000719,0.033616,0.914286
48,0.023212,[0.0],[1844],0.001194,0.024406,0.914286
49,0.016174,[0.0],[3269],0.000672,0.016845,0.914286
50,0.010848,[1.0],[1459],0.000518,0.011366,0.914286
51,0.013868,[0.0],[4691],0.000547,0.014415,0.914286
52,0.016379,[0.0],[1845],0.001127,0.017505,0.914286
53,0.012368,[0.0],[1748],0.000630,0.012998,0.914286
54,0.010426,[0.0],[1618],0.000578,0.011004,0.914286
55,0.013209,[0.0],[1791],0.000806,0.014015,0.914286
56,0.011382,[0.0],[1660],0.000531,0.011913,0.914286
57,0.011318,[0.0],[4604],0.001280,0.012598,0.914286
58,0.011467,[0.0],[4555],0.001141,0.012608,0.914286
59,0.011726,[0.0],[1750],0.000543,0.012269,0.914286
