iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000665,"[[1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 0.0, 1.0, 1.0]]","[3262, 1425]",0.032842,0.033507,0.480000
1,0.062850,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[3114],0.018798,0.081649,0.480000
2,0.055467,"[[1.0, 0.0, 0.0, 0.0, 1.0]]",[2342],0.024053,0.079519,0.837209
3,0.055776,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[3791],0.023521,0.079297,0.642857
4,0.055090,"[[0.0, 0.0, 0.0, 0.0, 0.0]]",[3359],0.021056,0.076146,0.857143
5,0.055882,"[[1.0, 0.0, 0.0, 1.0, 1.0]]",[3997],0.022987,0.078868,0.689655
6,0.055277,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[3320],0.024224,0.079502,0.687500
7,0.056043,"[[0.0, 1.0, 0.0, 0.0, 1.0]]",[4047],0.030193,0.086237,0.733333
8,0.056713,"[[0.0, 1.0, 0.0, 1.0, 1.0]]",[1256],0.027927,0.084641,0.687500
9,0.055801,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[451],0.027749,0.083549,0.875000
10,0.058814,"[[1.0, 1.0, 0.0, 1.0, 1.0]]",[4121],0.028904,0.087718,1.000000
11,0.056287,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[4386],0.030976,0.087263,0.900000
12,0.056649,"[[0.0, 1.0, 0.0, 1.0, 0.0]]",[5299],0.033453,0.090102,0.878049
13,0.056371,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[37],0.036668,0.093039,1.000000
14,0.056539,"[[0.0, 1.0, 0.0, 1.0, 1.0]]",[3244],0.036394,0.092934,1.000000
15,0.055893,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[3332],0.039610,0.095503,0.878049
16,0.056959,"[[0.0, 1.0, 0.0, 1.0, 1.0]]",[3188],0.048545,0.105504,0.900000
17,0.056545,"[[0.0, 1.0, 0.0, 1.0, 1.0]]",[1462],0.046766,0.103311,1.000000
18,0.056282,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[1596],0.047497,0.103778,1.000000
19,0.067053,"[[0.0, 0.0, 0.0, 0.0, 1.0]]",[81],0.054200,0.121253,1.000000
20,0.057839,"[[1.0, 0.0, 0.0, 1.0, 1.0]]",[1671],0.050976,0.108816,1.000000
21,0.057366,"[[1.0, 0.0, 0.0, 0.0, 1.0]]",[1189],0.053952,0.111318,1.000000
